,optimal,"""optimal"""
181,"(2888.46491922296, 500)","(2899.7417014829816, 483)"
182,"(2890.9794038605182, 500)","(2901.940512355049, 483)"
183,"(2893.4664080947796, 500)","(2905.3170999016784, 481)"
184,"(2895.9263799771165, 500)","(2907.4228516076005, 481)"
185,"(2898.3481634214927, 500)","(2909.5002624316853, 481)"
186,"(2900.7310290822584, 500)","(2911.5483490610445, 481)"
187,"(2903.079024077304, 500)","(2914.6277752039528, 479)"
188,"(2905.3927489355247, 500)","(2916.584560591193, 479)"
189,"(2907.6724760901448, 500)","(2918.512721736038, 479)"
190,"(2909.91899088491, 500)","(2920.4116487783403, 479)"
191,"(2912.1329675432294, 500)","(2923.203449705406, 477)"
192,"(2914.3150530520084, 500)","(2925.0126827102827, 477)"
193,"(2916.465898348854, 500)","(2927.6454098049853, 475)"
194,"(2918.586123338694, 500)","(2929.3661796522456, 475)"
195,"(2920.664889870667, 500)","(2931.8441210774704, 473)"
196,"(2922.7054212436724, 500)","(2933.4777420864266, 473)"
197,"(2924.711585522561, 500)","(2935.0828904850464, 473)"
198,"(2926.683213845855, 500)","(2936.6587500588303, 473)"
199,"(2928.62103337074, 500)","(2938.8731860775174, 471)"
200,"(2930.5259063251137, 500)","(2940.363938714526, 471)"
201,"(2932.3945848677627, 500)","(2942.4345619660553, 469)"
202,"(2934.222340755374, 500)","(2943.842025655177, 469)"
203,"(2936.0138487605495, 500)","(2946.319688359932, 465)"
204,"(2937.771219121225, 500)","(2947.621348381444, 465)"
205,"(2939.494467437478, 500)","(2949.388053704494, 463)"
206,"(2941.1786632315466, 500)","(2950.6111016110467, 463)"
207,"(2942.823432412902, 500)","(2952.24838048322, 461)"
208,"(2944.432998337064, 500)","(2953.394469698544, 461)"
209,"(2946.008458801945, 500)","(2955.2988672438573, 457)"
210,"(2947.5419225654928, 500)","(2956.3488905593376, 457)"
211,"(2949.0380828426096, 500)","(2957.71736284643, 455)"
212,"(2950.5003914155723, 500)","(2958.6948082686313, 455)"
213,"(2951.920302026295, 500)","(2960.2516934331634, 451)"
214,"(2953.3036295406855, 500)","(2961.1399152300037, 451)"
215,"(2954.649001653382, 500)","(2962.5251167664255, 447)"
216,"(2955.9552662149536, 500)","(2963.328265655118, 447)"
217,"(2957.2233538004302, 500)","(2964.7726394304086, 441)"
218,"(2958.4528605364767, 500)","(2965.47953646145, 441)"
219,"(2959.642618065876, 500)","(2966.5347926017917, 437)"
220,"(2960.7942195115806, 500)","(2967.1668892427747, 437)"
221,"(2961.9063692131494, 500)","(2968.2365884335163, 431)"
222,"(2962.978326922255, 500)","(2968.7865826576804, 431)"
223,"(2964.0110988465963, 500)","(2969.6844422456834, 425)"
224,"(2965.0041986424944, 500)","(2970.1612539801936, 425)"
225,"(2965.9573985338247, 500)","(2971.0006940830312, 417)"
226,"(2966.8706130910446, 500)","(2971.4047130577965, 417)"
227,"(2967.7438987934634, 500)","(2972.0718992214247, 409)"
228,"(2968.5761344445964, 500)","(2972.415302180761, 409)"
229,"(2969.368210868231, 500)","(2972.934471908518, 401)"
230,"(2970.1193405734434, 500)","(2973.2279500353125, 401)"
231,"(2970.8296049679166, 500)","(2973.6620954503524, 391)"
232,"(2971.4990520919314, 500)","(2973.9096928370227, 391)"
233,"(2972.1274235791902, 500)","(2974.2503764784465, 379)"
234,"(2972.7143829996517, 500)","(2974.457542546656, 379)"
235,"(2973.2601213181956, 500)","(2974.690579894842, 367)"
236,"(2973.7646481056704, 500)","(2974.867169953792, 367)"
237,"(2974.227997955162, 500)","(2975.0360583245997, 353)"
238,"(2974.6360653333527, 477)","(2975.188365604867, 353)"
239,"(2974.8996216969813, 436)","(2975.3064419880957, 337)"
240,"(2975.083099753812, 412)","(2975.4411944996573, 337)"
241,"(2975.22608355681, 392)","(2975.520436466191, 319)"
242,"(2975.3444103234256, 376)","(2975.6437446001282, 319)"
243,"(2975.4455695958313, 360)","(2975.6909923186176, 299)"
244,"(2975.533546705279, 346)","(2975.8076343489583, 299)"
245,"(2975.6101886741853, 330)","(2975.8232071086113, 277)"
246,"(2975.676010642938, 316)","(2975.93636937235, 277)"
247,"(2975.7304570174756, 300)","(2975.925436880815, 249)"
248,"(2975.7722546241052, 284)","(2976.032158046327, 249)"
249,"(2975.7993338282245, 266)","(2976.8902755888234, 499)"
250,"(2975.809273105018, 250)","(2975.9077472961617, 251)"
251,"(2975.7985430068834, 233)","(2975.9009938275817, 223)"
252,"(2975.764918328009, 217)","(2975.872663546486, 201)"
253,"(2975.7055346307598, 201)","(2975.81930803503, 181)"
254,"(2975.6176344293776, 185)","(2975.735857461228, 163)"
255,"(2975.4987716701617, 169)","(2975.620081137568, 147)"
256,"(2975.3466866667295, 155)","(2975.467484082497, 133)"
257,"(2975.159521701885, 143)","(2975.2775473028805, 121)"
258,"(2974.9355620652223, 129)","(2975.0525451979347, 109)"
259,"(2974.6735362920663, 119)","(2974.7865601091066, 99)"
260,"(2974.372513916121, 109)","(2974.476346287821, 91)"
261,"(2974.031504241934, 99)","(2974.1312311689976, 83)"
262,"(2973.650247402781, 89)","(2973.7459562477134, 75)"
263,"(2973.227997955162, 83)","(2973.3174818378593, 69)"
264,"(2972.7646481056704, 75)","(2972.8476998778015, 63)"
265,"(2972.2601213181956, 69)","(2972.334485011004, 59)"
266,"(2971.7143829996517, 63)","(2971.787859689249, 53)"
267,"(2971.1274235791902, 57)","(2971.1954798999236, 49)"
268,"(2970.4990520919314, 53)","(2970.5618011138076, 45)"
269,"(2969.8296049679166, 49)","(2969.8821809846518, 43)"
270,"(2969.1193405734434, 45)","(2969.171873231324, 39)"
271,"(2968.368210868231, 41)","(2968.41192616551, 37)"
272,"(2967.5761344445964, 39)","(2967.616499835305, 35)"
273,"(2966.7438987934634, 35)","(2966.786976765378, 31)"
274,"(2965.8706130910446, 33)","(2965.9106034116994, 29)"
275,"(2964.9573985338247, 31)","(2964.992556758632, 27)"
276,"(2964.0041986424944, 29)","(2964.0297652606523, 27)"
277,"(2963.0110988465963, 27)","(2963.0355792871983, 25)"
278,"(2961.978326922255, 25)","(2962.004393834575, 23)"
279,"(2960.9063692131494, 23)","(2960.9307569219827, 21)"
280,"(2959.7942195115806, 23)","(2959.812909973813, 21)"
281,"(2958.642618065876, 21)","(2958.6619680798754, 19)"
282,"(2957.4528605364767, 19)","(2957.468260211323, 19)"
283,"(2956.2233538004302, 19)","(2956.239712676046, 17)"
284,"(2954.9552662149536, 17)","(2954.9694426113615, 17)"
285,"(2953.649001653382, 17)","(2953.6641347859627, 15)"
