,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
265,69,2972.2601213182043,59,2972.334485011004,0.13955224674537237,2984.151677967426,0.11890764469623756,2985.6593766680166,0.13955238213716464,7186.128175822595,0.11890764469623756,7186.2179728238625,0.03125,7198.842238131169,1,3019.4636648217406,0.002,7464.003404086052,0.002,4720.898146792261
264,75,2972.764648105677,63,2972.8476998778015,0.15218867175192496,2984.6579475660888,0.12898504135269295,2986.171597307963,0.15218764785511132,7186.6344454210275,0.12898504136059552,7186.73019346376,0.03333333333333333,7199.623270344821,1,3021.5823088895368,0.002,7467.233415935164,0.002,4722.9410929335045
263,83,2973.22799795517,69,2973.3174818378593,0.16620251648188686,2985.1224331437243,0.14020976889706546,2986.6422593974808,0.16620277377686693,7187.09893099846,0.14020976889706546,7187.200855553248,0.03571428571428571,7200.360473227174,1,3023.6920135308865,0.002,7470.4434140758285,0.002,4724.971380629404
262,89,2973.6502474027893,75,2973.7459562477134,0.18172213199402776,2985.545365105762,0.1527308008499582,2987.0714920240594,0.18172150152327052,7187.521862960172,0.1527308008499582,7187.630088179759,0.038461538461538464,7201.052579577182,1,3025.7928538670203,0.002,7473.633589987255,0.002,4726.989130988407
261,99,2974.031504241941,83,2974.1312311689976,0.19886243930577194,2985.9270792671555,0.16672427469443868,2987.4594694455864,0.19886236222486892,7187.903577121177,0.16672427469443868,7188.018065601207,0.041666666666666664,7201.69801150888,1,3027.8849040762248,0.002,7476.804132638144,0.002,4728.994463531089
260,109,2974.3725139161297,91,2974.476346287821,0.2177321828700719,2986.2680467448567,0.1823819820822557,2987.8064609305716,0.21773219955662598,7188.244544598367,0.1823819820822557,7188.365057086059,0.045454545454545456,7202.294770842365,1,3029.968237409558,0.002,7479.955228529147,0.002,4730.987496217014
259,119,2974.6735362920735,99,2974.7865601091066,0.23841839717361774,2986.568907470588,0.19992558142679046,2988.1128363049424,0.23841840517053303,7188.545405323456,0.19992558142679046,7188.671432460254,0.05,7202.840273063255,1,3032.042926206238,0.002,7483.087061734451,0.002,4732.968345471033
258,129,2974.9355620652286,109,2975.0525451979347,0.2609799725585905,2986.8305058698975,0.2196097709748853,2988.3791026157387,0.2609801261776183,7188.8070037219695,0.2196097709748853,7188.937698770794,0.05555555555555555,7203.331085782143,1,3034.109041908717,0.002,7486.19981394247,0.002,4734.937126209026
257,143,2975.159521701894,121,2975.2775473028805,0.285438808723704,2987.0539263164505,0.24171787993767627,2988.605965868276,0.28543888612743523,7189.030424167574,0.24171787993767627,7189.164562022964,0.0625,7203.762497604522,1,3036.1666550774407,0.002,7489.293664495733,0.002,4736.89395186312
256,155,2975.3466866667386,133,2975.467484082497,0.311768863463362,2987.240524967835,0.2665783533823476,2988.794372337561,0.3117692257777674,7189.217022817877,0.2665783533823476,7189.352968491721,0.07142857142857142,7204.1277685129435,1,3038.2158354053095,0.002,7492.36879042991,0.002,4738.838934406381
255,169,2975.49877167017,147,2975.620081137568,0.3398905824058076,2987.3919536638086,0.2945631891565282,2988.9456030114493,0.33989009904859696,7189.368451512688,0.2945631891565282,7189.504199164881,0.08333333333333333,7204.416741781522,1,3040.256651731839,0.002,7495.425366512067,0.002,4740.77218437702
254,185,2975.617634429386,163,2975.735857461228,0.3696579742377974,2987.5101708976854,0.32610506056781197,2989.0613716892444,0.36965785888027397,7189.486668745399,0.32610506056781197,7189.619967841715,0.1,7204.613075293567,1,3042.2891720570424,0.002,7498.46356527814,0.002,4742.6938109020675
253,201,2975.705534630767,181,2975.81930803503,0.40086169207312033,2987.5974346322946,0.361712643867944,2989.143979333816,0.40086178144328477,7189.573932478941,0.361712643867944,7189.702575485118,0.125,7204.688227182863,1,3044.3134635550173,0.002,7501.483557069622,0.002,4744.603921720604
252,217,2975.7649183280178,201,2975.872663546486,0.4332232118661582,2987.6562720654206,0.40200230136303433,2989.1965359525407,0.433223289631016,7189.632769911225,0.40200230136303433,7189.755132102552,0.16666666666666666,7204.587286735852,1,3046.3295925872753,0.002,7504.485510069527,0.002,4746.502623206492
251,233,2975.7985430068925,223,2975.9009938275817,0.46640043805266335,2987.689422441229,0.4477468796627152,2989.2233216939817,0.4664004516094526,7189.665920286501,0.4477468796627152,7189.78191784288,0.25,7204.198151329953,1,3048.3376247157894,0.002,7507.4695903376205,0.002,4748.390020390664
250,250,2975.8092731050274,249,2975.9077472961603,0.4999999999990426,2987.699750688028,0.49999999999999956,2989.2304108168505,0.5000000000026593,7189.676248533129,0.49999999999999956,7189.789006965271,0.5,7203.555058289547,1,3050.337624715789,0.002,7510.43596184495,0.002,4750.266216982959
249,266,2975.7993338282354,281,2975.9051015381815,0.5335994885443335,2987.6901320334177,0.5603361959106922,2989.226972508966,0.533599900176859,7189.666629878689,0.5603361959106922,7189.785568658007,1.0,7205.198151329953,1,3052.3296565882983,0.002,7513.384786507658,0.002,4752.131315393521
248,284,2975.7722546241166,315,2975.9036584674054,0.5667857048425929,2987.663310727463,0.6315651682206486,2989.228523064893,0.5667858284211496,7189.6398085731535,0.6315651682206486,7189.787119215658,1.0,7205.587286735852,1,3054.313783572425,0.002,7516.3162242201715,0.002,4753.985416753774
247,300,2975.730457017484,361,2975.946079951874,0.5992036650978378,2987.621739228194,0.7205562543664384,2989.268814198034,0.5992037013474278,7189.598237074478,0.7205562543664384,7189.827410350576,1.0,7205.688227182863,1,3056.290068157405,0.002,7519.230432887671,0.002,4755.828620936965
246,316,2975.6760106429465,500,2976.735857461228,0.6306271710184991,2987.5674064790264,1.0,2990.0613716892444,0.6306265492105817,7189.543904325975,1.0,7190.619967841715,1.0,7205.613075293567,1,3058.258572094413,0.002,7522.127568457956,0.002,4757.661026578324
245,330,2975.6101886741926,500,2976.620081137568,0.6610284214531437,2987.5016624143973,1.0,2989.9456030114493,0.6610283925999875,7189.478160262028,1.0,7190.504199164881,1.0,7205.416741781522,1,3060.219356408138,0.002,7525.007784952677,0.002,4759.482731094809
244,346,2975.5335467052887,500,2976.467484082497,0.6906555711221651,2987.425035594441,1.0,2989.794372337561,0.6906555181233185,7189.4015334427095,1.0,7190.352968491721,1.0,7205.1277685129435,1,3062.1724814081376,0.002,7527.87123449794,0.002,4761.293830704473
243,360,2975.4455695958404,500,2976.2775473028805,0.7200950169235736,2987.3370146492043,1.0,2989.605965868276,0.7200956551097949,7189.31351249807,1.0,7190.164562022964,1.0,7204.762497604522,1,3064.118006699966,0.002,7530.718067354325,0.002,4763.094420445441
242,376,2975.3444103234347,500,2976.0525451979347,0.7503776926877339,2987.2357090846963,1.0,2989.3791026157387,0.7503774589433199,7189.212206934147,1.0,7189.937698770794,1.0,7204.331085782143,1,3066.0559911960895,0.002,7533.548431946311,0.002,4764.884594194524
241,392,2975.226083556819,500,2975.7865601091066,0.7832052406011228,2987.117180743546,1.0,2989.1128363049424,0.7832051750157738,7189.093678593568,1.0,7189.671432460254,1.0,7203.840273063255,1,3067.986493126591,0.002,7536.362474891147,0.002,4766.664444685478
240,412,2975.08309975382,500,2975.476346287821,0.8216438114361085,2986.973879710544,1.0,2988.8064609305716,0.8216427988965948,7188.950377561126,1.0,7189.365057086059,1.0,7203.294770842365,1,3069.9095700496673,0.002,7539.160341027129,0.002,4768.434063526904
239,436,2974.899621696989,500,2975.1312311689976,0.8723501293977074,2986.79025872445,1.0,2988.4594694455864,0.8723499368635396,7188.766756575737,1.0,7189.018065601207,1.0,7202.69801150888,1,3071.8252788619275,0.002,7541.942173441362,0.002,4770.193541219783
238,477,2974.6360653333622,500,2974.7459562477134,0.950011153695713,2986.5283732254993,1.0,2988.0714920240594,0.950010189204021,7188.50487107839,1.0,7188.630088179759,1.0,7202.052579577182,1,3073.733675808492,0.002,7544.708113497002,0.002,4771.942967174715
237,500,2974.22799795517,500,2974.3174818378593,1.0,2986.1224331437243,1.0,2987.6422593974808,1.0,7188.09893099846,1.0,7188.200855553248,1.0,7201.360473227174,1,3075.6348164929022,0.002,7547.458300859926,0.002,4773.682429728795
236,500,2973.764648105677,500,2973.8476998778015,1.0,2985.6579475660888,1.0,2987.171597307963,1.0,7187.6344454210275,1.0,7187.73019346376,1.0,7200.623270344821,1,3077.5287558868413,0.002,7550.192873524933,0.002,4775.412016162188
235,500,2973.2601213182043,500,2973.334485011004,1.0,2985.151677967426,1.0,2986.6593766680166,1.0,7187.128175822595,1.0,7187.2179728238625,1.0,7199.842238131169,1,3079.4155483396707,0.002,7552.911967841439,0.002,4777.1318127143595
234,500,2972.7143829996594,500,2972.787859689249,1.0,2984.603473761163,1.0,2986.1055110237344,1.0,7186.57997161647,1.0,7186.664107179605,1.0,7199.018407944794,1,3081.2952475877905,0.002,7555.615718538695,0.002,4778.841904600048
233,500,2972.127423579199,500,2972.1954798999236,1.0,2984.01324299527,1.0,2985.5099523121016,1.0,7185.98974085066,1.0,7186.06854846799,1.0,7198.152627930493,1,3083.16790676382,0.002,7558.304258750506,0.002,4780.542376024881
232,500,2971.4990520919378,500,2971.5618011138076,1.0,2983.3809353061292,1.0,2984.872675920205,1.0,7185.357433161667,1.0,7185.431272076109,1.0,7197.2456009930975,1,3085.033578405611,0.002,7560.9777200394865,0.002,4782.233310200734
231,500,2970.829604967925,500,2970.8821809846518,1.0,2982.706528531754,1.0,2984.1936423450925,1.0,7184.683026387371,1.0,7184.752238500991,1.0,7196.297912825846,1,3086.8923144650903,0.002,7563.636232420915,0.002,4783.914789360811
230,500,2970.119340573452,500,2970.171873231324,1.0,2981.99001841998,1.0,2983.4728617769465,1.0,7183.966516275578,1.0,7184.031457933224,1.0,7195.310053017156,1,3088.744166316942,0.002,7566.279924386056,0.002,4785.5868947743875
229,500,2969.3682108682365,500,2969.41192616551,1.0,2981.231410868855,1.0,2982.7103068088163,1.0,7183.207908724587,1.0,7183.268902964669,1.0,7194.282431231152,1,3090.589184767126,0.002,7568.908922925132,0.002,4787.249706761349
228,500,2968.5761344446023,500,2968.616499835305,1.0,2980.430716182967,1.0,2981.9059768932907,1.0,7182.40721403873,1.0,7182.464573049153,1.0,7193.215389810276,1,3092.427420061243,0.002,7571.523353549817,0.002,4788.9033047064195
