,RLS-opt,T[RLS-opt],p-opt,T[p-opt],RLS-drift,t[RLS-drift],p-drift,T[p-drift],p-opt{>0},T[p-opt{>0}],p-drift{>0},T[p-drift{>0}]
469,1,2013.6225977179627,0.002279028716576108,5353.4680504781845,1,2013.6225977179627,0.0022744513176705928,5353.471592657568,4e-06,2016.2685129131646,5.9608609865491405e-06,2016.5351704761767
468,1,2029.2475977179595,0.0022897263830507306,5391.870936177598,1,2029.2475977179595,0.002288257338602987,5391.874483335832,5.5900037589931785e-06,2031.9125675489838,5.9608609865491405e-06,2032.1804896671347
467,1,2044.399112869472,0.002300535001475321,5428.984296106089,1,2044.399112869472,0.0022988520338801713,5428.987852626574,4e-06,2047.077240314893,5.9608609865491405e-06,2047.3516177252536
466,1,2059.1049952224103,0.0023114564132332848,5464.8839059405245,1,2059.1049952224103,0.0023095688022705366,5464.887473671049,4e-06,2061.795834704598,5.9608609865491405e-06,2062.0764482476307
465,1,2073.3907095081217,0.0023224925020131097,5499.639045336032,1,2073.3907095081217,0.0023204078724549824,5499.642626133435,5.995360068631469e-06,2076.099977168381,5.9608609865491405e-06,2076.380483951612
464,1,2087.279598397008,0.002333645195047304,5533.313219689684,1,2087.279598397008,0.0023314278019955204,5533.316814602362,5.042968799614521e-06,2090.003863557378,5.9608609865491405e-06,2090.287102328098
463,1,2100.793111910519,0.002344916464395189,5565.96478436821,1,2100.793111910519,0.002340083084806459,5565.968445473359,4e-06,2103.5288957369544,5.9608609865491405e-06,2103.8177853957554
462,1,2113.951006647359,0.0023563083282704665,5597.6474868001105,1,2113.951006647359,0.002352227876125435,5597.651190756832,5.6271923362885615e-06,2116.7024980500714,5.9608609865491405e-06,2116.992319224407
461,1,2126.7715194678694,0.0023678228524177795,5628.4109390684225,1,2126.7715194678694,0.002364528983762244,5628.4146696400685,4e-06,2129.5338359636476,5.9608609865491405e-06,2129.8289678785045
460,1,2139.271519467867,0.0023794621515378696,5658.3010314290195,1,2139.271519467867,0.00237698669848536,5658.304776243151,4.403802056419214e-06,2142.0454017568163,5.9608609865491405e-06,2142.344625617669
459,1,2151.466641419084,0.0023912283907640214,5687.360295399464,1,2151.466641419084,0.002386268052454476,5687.364099374781,4.609722895788283e-06,2154.252278934128,5.9608609865491405e-06,2154.554950536179
