,RLS-opt,T[RLS-opt],p-opt,T[p-opt],RLS-drift,t[RLS-drift],p-drift,T[p-drift],p-opt{>0},T[p-opt{>0}],p-drift{>0},T[p-drift{>0}]
481,1,1773.8698285715907,0.002158693534228676,4750.365488320346,1,1773.8698285715907,0.002155908694331868,3034.8855787053276,0.0031065359050481034,3948.001912190518,5.9608609865491405e-06,1776.460626439872
480,1,1798.869828571586,0.00216818952537431,4814.291114136735,1,1798.869828571586,0.0021653441583194427,3077.1879267715053,0.0031194551933851422,4002.2616576019254,5.9608609865491405e-06,1801.4949302000523
479,1,1822.6793523811052,0.002177777273638299,4874.976388523148,1,1822.6793523811052,0.0021749425725724534,3117.4446371442014,0.003132485872488399,4053.8440487675457,5.9608609865491405e-06,1825.3369819421073
478,1,1845.4066251083734,0.0021874581955263696,4932.715783626849,1,1845.4066251083734,0.0021845900048761318,3155.841001561354,0.003145629417990933,4102.991961148691,5.9608609865491405e-06,1848.0951682147595
477,1,1867.1457555431516,0.0021972337378333845,4987.7653609873305,1,1867.1457555431516,0.0021943317412698596,3192.5385870772247,0.003158887332221218,4149.916586734455,5.9608609865491405e-06,1869.863738190811
476,1,1887.9790888764808,0.0022071053784661096,5040.349173285216,1,1887.9790888764808,0.0022040318517489955,3227.6775226521986,0.0031722611448259737,4194.8027145848555,5.9608609865491405e-06,1890.7251598964638
475,1,1907.979088876477,0.0022170746272910965,5090.664385741007,1,1907.979088876477,0.0022139513476843948,3261.383391482013,0.0031857524134102605,4237.812955265119,5.9608609865491405e-06,1910.7520051947758
474,1,1927.2098581072426,0.0022271430270092564,5138.885412629054,1,1927.2098581072426,0.0022239322923791388,3293.7659056580756,0.0031993627241967046,4279.091152888529,5.9608609865491405e-06,1930.008472272297
473,1,1945.7283766257574,0.0022373121540575926,5185.167287770067,1,1945.7283766257574,0.002233787792848718,3324.9211572870336,0.003213093692704422,4318.76516529926,5.9608609865491405e-06,1948.5516261837404
472,1,1963.5855194828966,0.0022475836195379466,5229.648433149543,1,1963.5855194828966,0.0022437683974348096,3354.9368781496732,0.003226946964447085,4356.949147793812,5.9608609865491405e-06,1966.432417870813
471,1,1980.826898793238,0.002257959070174947,5272.452950187852,1,1980.826898793238,0.0022544005894228514,3383.895417100428,0.003240924215652562,4393.745443097146,5.9608609865491405e-06,1983.6965274881486
470,1,1997.4935654599012,0.0022684402017769173,5313.692529131588,1,1997.4935654599012,0.002264525902274745,3411.862723847981,0.0032550271540038034,4429.246156342609,5.9608609865491405e-06,2000.3850671749178
469,1,2013.6225977179627,0.002279028716576108,5353.4680504781845,1,2013.6225977179627,0.0022744513176705928,3438.900721497724,0.0032692575194012328,4463.534476022677,5.9608609865491405e-06,2016.5351704761767
468,1,2029.2475977179595,0.0022897263830507306,5391.870936177598,1,2029.2475977179595,0.002288257338602987,3465.091356802792,0.003283617088486686,4496.6857885722675,5.9608609865491405e-06,2032.1804896671347
467,1,2044.399112869472,0.002300535001475321,5428.984296106089,1,2044.399112869472,0.0022988520338801713,3490.4644130022325,0.0032981076615319046,4528.768623960593,5.9608609865491405e-06,2047.3516177252536
466,1,2059.1049952224103,0.0023114564132332848,5464.8839059405245,1,2059.1049952224103,0.0023095688022705366,3515.0686165713123,0.003312731082783445,4559.845462385633,5.9608609865491405e-06,2062.0764482476307
465,1,2073.3907095081217,0.0023224925020131097,5499.639045336032,1,2073.3907095081217,0.0023204078724549824,3538.9477907865626,0.003327489229228682,4589.973425625249,5.9608609865491405e-06,2076.380483951612
464,1,2087.279598397008,0.002333645195047304,5533.313219689684,1,2087.279598397008,0.0023314278019955204,3562.1424216458645,0.0033423840142056027,4619.204872392356,5.9608609865491405e-06,2090.287102328098
463,1,2100.793111910519,0.002344916464395189,5565.96478436821,1,2100.793111910519,0.002340083084806459,3584.676249984305,0.0033574173883738913,4647.587913235887,5.9608609865491405e-06,2103.8177853957554
462,1,2113.951006647359,0.0023563083282704665,5597.6474868001105,1,2113.951006647359,0.002352227876125435,3606.601831634608,0.003372591340660904,4675.166857691519,5.9608609865491405e-06,2116.992319224407
461,1,2126.7715194678694,0.0023678228524177795,5628.4109390684225,1,2126.7715194678694,0.002364528983762244,3627.9495806446257,0.0033879078992399897,4701.982604105244,5.9608609865491405e-06,2129.8289678785045
460,1,2139.271519467867,0.0023794621515378696,5658.3010314290195,1,2139.271519467867,0.00237698669848536,3648.7483228646533,0.003403369132535418,4728.072980728913,5.9608609865491405e-06,2142.344625617669
