,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.30529985436595,All
391,1,1,0,0,0,0,1,1,1,18.750000000000018,1
390,1,1,0,0,0,0,1,1,0,19.873349983257064,3
389,1,1,0,0,0,0,1,0,1,19.873349983257064,3
388,1,1,0,0,0,0,1,0,0,20.10000000000003,4
387,1,1,0,0,0,0,0,1,1,19.879825698021147,3
386,1,1,0,0,0,0,0,1,0,20.10000000000003,4
385,1,1,0,0,0,0,0,0,1,20.10000000000003,4
384,1,1,0,0,0,0,0,0,0,19.500000000000025,5
383,1,0,1,1,1,1,1,1,1,9.000000000000007,1
382,1,0,1,1,1,1,1,1,0,13.50000000000001,1
381,1,0,1,1,1,1,1,0,1,13.50000000000001,1
380,1,0,1,1,1,1,1,0,0,16.500000000000014,1
379,1,0,1,1,1,1,0,1,1,13.50000000000001,1
378,1,0,1,1,1,1,0,1,0,16.500000000000014,1
377,1,0,1,1,1,1,0,0,1,16.500000000000014,1
376,1,0,1,1,1,1,0,0,0,18.750000000000018,1
375,1,0,1,1,1,0,1,1,1,13.50000000000001,1
374,1,0,1,1,1,0,1,1,0,16.500000000000014,1
373,1,0,1,1,1,0,1,0,1,16.500000000000014,1
372,1,0,1,1,1,0,1,0,0,18.750000000000018,1
371,1,0,1,1,1,0,0,1,1,16.500000000000014,1
370,1,0,1,1,1,0,0,1,0,18.750000000000018,1
369,1,0,1,1,1,0,0,0,1,18.750000000000018,1
368,1,0,1,1,1,0,0,0,0,20.100000000000016,2
367,1,0,1,1,0,1,1,1,1,13.50000000000001,1
366,1,0,1,1,0,1,1,1,0,16.500000000000014,1
365,1,0,1,1,0,1,1,0,1,16.500000000000014,1
364,1,0,1,1,0,1,1,0,0,18.750000000000018,1
363,1,0,1,1,0,1,0,1,1,16.500000000000014,1
362,1,0,1,1,0,1,0,1,0,18.750000000000018,1
361,1,0,1,1,0,1,0,0,1,18.750000000000018,1
360,1,0,1,1,0,1,0,0,0,19.938807542223678,4
359,1,0,1,1,0,0,1,1,1,16.500000000000014,1
358,1,0,1,1,0,0,1,1,0,18.750000000000018,1
357,1,0,1,1,0,0,1,0,1,18.750000000000018,1
356,1,0,1,1,0,0,1,0,0,19.84924830041158,4
355,1,0,1,1,0,0,0,1,1,18.750000000000018,1
354,1,0,1,1,0,0,0,1,0,19.847696461345112,4
353,1,0,1,1,0,0,0,0,1,19.847696461345112,4
352,1,0,1,1,0,0,0,0,0,19.357142857142872,6
351,1,0,1,0,1,1,1,1,1,13.50000000000001,1
350,1,0,1,0,1,1,1,1,0,16.500000000000014,1
349,1,0,1,0,1,1,1,0,1,16.500000000000014,1
348,1,0,1,0,1,1,1,0,0,18.750000000000018,1
347,1,0,1,0,1,1,0,1,1,16.500000000000014,1
346,1,0,1,0,1,1,0,1,0,18.750000000000018,1
345,1,0,1,0,1,1,0,0,1,18.750000000000018,1
344,1,0,1,0,1,1,0,0,0,19.69611641818002,4
343,1,0,1,0,1,0,1,1,1,16.500000000000014,1
342,1,0,1,0,1,0,1,1,0,18.750000000000018,1
341,1,0,1,0,1,0,1,0,1,18.750000000000018,1
340,1,0,1,0,1,0,1,0,0,19.62937469412289,4
339,1,0,1,0,1,0,0,1,1,18.750000000000018,1
338,1,0,1,0,1,0,0,1,0,19.629426320821405,4
337,1,0,1,0,1,0,0,0,1,19.629426320821405,4
336,1,0,1,0,1,0,0,0,0,19.09090909090911,6
335,1,0,1,0,0,1,1,1,1,16.500000000000014,1
334,1,0,1,0,0,1,1,1,0,18.750000000000018,1
333,1,0,1,0,0,1,1,0,1,18.750000000000018,1
332,1,0,1,0,0,1,1,0,0,19.567575665869843,4
331,1,0,1,0,0,1,0,1,1,18.750000000000018,1
330,1,0,1,0,0,1,0,1,0,19.567364005723533,4
329,1,0,1,0,0,1,0,0,1,19.567364005723533,4
328,1,0,1,0,0,1,0,0,0,19.09090909090911,6
327,1,0,1,0,0,0,1,1,1,18.750000000000018,1
326,1,0,1,0,0,0,1,1,0,19.568690025040915,4
325,1,0,1,0,0,0,1,0,1,19.568690025040915,4
324,1,0,1,0,0,0,1,0,0,19.09090909090911,6
323,1,0,1,0,0,0,0,1,1,19.566743762647462,4
322,1,0,1,0,0,0,0,1,0,19.09090909090911,6
321,1,0,1,0,0,0,0,0,1,19.09090909090911,6
320,1,0,1,0,0,0,0,0,0,16.714285714285726,7
319,1,0,0,1,1,1,1,1,1,13.50000000000001,1
318,1,0,0,1,1,1,1,1,0,16.500000000000014,1
317,1,0,0,1,1,1,1,0,1,16.500000000000014,1
