,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
903,1,1,1,0,0,0,0,1,1,1,20.83333333333333,1
902,1,1,1,0,0,0,0,1,1,0,22.83333333333333,1
901,1,1,1,0,0,0,0,1,0,1,22.83333333333333,1
900,1,1,1,0,0,0,0,1,0,0,23.715686274509803,3
899,1,1,1,0,0,0,0,0,1,1,22.83333333333333,1
898,1,1,1,0,0,0,0,0,1,0,23.690476190476193,3
897,1,1,1,0,0,0,0,0,0,1,23.690476190476193,3
896,1,1,1,0,0,0,0,0,0,0,24.26190476190476,3
895,1,1,0,1,1,1,1,1,1,1,10.0,1
894,1,1,0,1,1,1,1,1,1,0,15.0,1
893,1,1,0,1,1,1,1,1,0,1,15.0,1
892,1,1,0,1,1,1,1,1,0,0,18.333333333333332,1
891,1,1,0,1,1,1,1,0,1,1,15.0,1
890,1,1,0,1,1,1,1,0,1,0,18.333333333333332,1
889,1,1,0,1,1,1,1,0,0,1,18.333333333333332,1
888,1,1,0,1,1,1,1,0,0,0,20.83333333333333,1
887,1,1,0,1,1,1,0,1,1,1,15.0,1
886,1,1,0,1,1,1,0,1,1,0,18.333333333333332,1
885,1,1,0,1,1,1,0,1,0,1,18.333333333333332,1
884,1,1,0,1,1,1,0,1,0,0,20.83333333333333,1
883,1,1,0,1,1,1,0,0,1,1,18.333333333333332,1
882,1,1,0,1,1,1,0,0,1,0,20.83333333333333,1
881,1,1,0,1,1,1,0,0,0,1,20.83333333333333,1
880,1,1,0,1,1,1,0,0,0,0,22.83333333333333,1
879,1,1,0,1,1,0,1,1,1,1,15.0,1
878,1,1,0,1,1,0,1,1,1,0,18.333333333333332,1
877,1,1,0,1,1,0,1,1,0,1,18.333333333333332,1
876,1,1,0,1,1,0,1,1,0,0,20.83333333333333,1
875,1,1,0,1,1,0,1,0,1,1,18.333333333333332,1
874,1,1,0,1,1,0,1,0,1,0,20.83333333333333,1
873,1,1,0,1,1,0,1,0,0,1,20.83333333333333,1
872,1,1,0,1,1,0,1,0,0,0,22.83333333333333,1
871,1,1,0,1,1,0,0,1,1,1,18.333333333333332,1
870,1,1,0,1,1,0,0,1,1,0,20.83333333333333,1
869,1,1,0,1,1,0,0,1,0,1,20.83333333333333,1
868,1,1,0,1,1,0,0,1,0,0,22.83333333333333,1
867,1,1,0,1,1,0,0,0,1,1,20.83333333333333,1
866,1,1,0,1,1,0,0,0,1,0,22.83333333333333,1
865,1,1,0,1,1,0,0,0,0,1,22.83333333333333,1
864,1,1,0,1,1,0,0,0,0,0,23.833333333333343,2
863,1,1,0,1,0,1,1,1,1,1,15.0,1
862,1,1,0,1,0,1,1,1,1,0,18.333333333333332,1
861,1,1,0,1,0,1,1,1,0,1,18.333333333333332,1
860,1,1,0,1,0,1,1,1,0,0,20.83333333333333,1
859,1,1,0,1,0,1,1,0,1,1,18.333333333333332,1
858,1,1,0,1,0,1,1,0,1,0,20.83333333333333,1
857,1,1,0,1,0,1,1,0,0,1,20.83333333333333,1
856,1,1,0,1,0,1,1,0,0,0,22.83333333333333,1
855,1,1,0,1,0,1,0,1,1,1,18.333333333333332,1
854,1,1,0,1,0,1,0,1,1,0,20.83333333333333,1
853,1,1,0,1,0,1,0,1,0,1,20.83333333333333,1
852,1,1,0,1,0,1,0,1,0,0,22.83333333333333,1
851,1,1,0,1,0,1,0,0,1,1,20.83333333333333,1
850,1,1,0,1,0,1,0,0,1,0,22.83333333333333,1
849,1,1,0,1,0,1,0,0,0,1,22.83333333333333,1
848,1,1,0,1,0,1,0,0,0,0,23.731292517006803,3
847,1,1,0,1,0,0,1,1,1,1,18.333333333333332,1
846,1,1,0,1,0,0,1,1,1,0,20.83333333333333,1
845,1,1,0,1,0,0,1,1,0,1,20.83333333333333,1
844,1,1,0,1,0,0,1,1,0,0,22.83333333333333,1
843,1,1,0,1,0,0,1,0,1,1,20.83333333333333,1
842,1,1,0,1,0,0,1,0,1,0,22.83333333333333,1
841,1,1,0,1,0,0,1,0,0,1,22.83333333333333,1
840,1,1,0,1,0,0,1,0,0,0,23.631223918138698,4
839,1,1,0,1,0,0,0,1,1,1,20.83333333333333,1
838,1,1,0,1,0,0,0,1,1,0,22.810883639169965,3
837,1,1,0,1,0,0,0,1,0,1,22.810883639169965,3
836,1,1,0,1,0,0,0,1,0,0,23.57636904761906,4
835,1,1,0,1,0,0,0,0,1,1,22.828939134887413,3
834,1,1,0,1,0,0,0,0,1,0,23.576873249299734,4
833,1,1,0,1,0,0,0,0,0,1,23.576873249299734,4
832,1,1,0,1,0,0,0,0,0,0,23.883333333333347,4
831,1,1,0,0,1,1,1,1,1,1,15.0,1
830,1,1,0,0,1,1,1,1,1,0,18.333333333333332,1
829,1,1,0,0,1,1,1,1,0,1,18.333333333333332,1
828,1,1,0,0,1,1,1,1,0,0,20.83333333333333,1
827,1,1,0,0,1,1,1,0,1,1,18.333333333333332,1
826,1,1,0,0,1,1,1,0,1,0,20.83333333333333,1
825,1,1,0,0,1,1,1,0,0,1,20.83333333333333,1
824,1,1,0,0,1,1,1,0,0,0,22.83333333333333,1
823,1,1,0,0,1,1,0,1,1,1,18.333333333333332,1
822,1,1,0,0,1,1,0,1,1,0,20.83333333333333,1
821,1,1,0,0,1,1,0,1,0,1,20.83333333333333,1
820,1,1,0,0,1,1,0,1,0,0,22.83333333333333,1
819,1,1,0,0,1,1,0,0,1,1,20.83333333333333,1
