,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.344862524561574,All
160,0,0,1,0,1,0,0,0,0,0,16.0,10
159,0,0,1,0,0,1,1,1,1,1,20.83333333333333,1
158,0,0,1,0,0,1,1,1,1,0,21.51052439645645,5
157,0,0,1,0,0,1,1,1,0,1,21.51052439645645,5
156,0,0,1,0,0,1,1,1,0,0,21.48766734658499,6
155,0,0,1,0,0,1,1,0,1,1,21.510413953911105,5
154,0,0,1,0,0,1,1,0,1,0,21.487798586682526,6
153,0,0,1,0,0,1,1,0,0,1,21.487798586682526,6
152,0,0,1,0,0,1,1,0,0,0,19.333333333333332,10
151,0,0,1,0,0,1,0,1,1,1,21.51002087358919,5
150,0,0,1,0,0,1,0,1,1,0,21.48772159622402,6
149,0,0,1,0,0,1,0,1,0,1,21.48772159622402,6
148,0,0,1,0,0,1,0,1,0,0,19.333333333333332,10
147,0,0,1,0,0,1,0,0,1,1,21.48785294360923,6
146,0,0,1,0,0,1,0,0,1,0,19.333333333333332,10
145,0,0,1,0,0,1,0,0,0,1,19.333333333333332,10
144,0,0,1,0,0,1,0,0,0,0,16.0,10
143,0,0,1,0,0,0,1,1,1,1,21.483915904271715,5
142,0,0,1,0,0,0,1,1,1,0,21.486874931951885,6
141,0,0,1,0,0,0,1,1,0,1,21.486874931951885,6
140,0,0,1,0,0,0,1,1,0,0,19.333333333333332,10
139,0,0,1,0,0,0,1,0,1,1,21.487006510418237,6
138,0,0,1,0,0,0,1,0,1,0,19.333333333333332,10
137,0,0,1,0,0,0,1,0,0,1,19.333333333333332,10
136,0,0,1,0,0,0,1,0,0,0,16.0,10
135,0,0,1,0,0,0,0,1,1,1,21.486532518385175,6
134,0,0,1,0,0,0,0,1,1,0,19.333333333333332,10
133,0,0,1,0,0,0,0,1,0,1,19.333333333333332,10
132,0,0,1,0,0,0,0,1,0,0,16.0,10
131,0,0,1,0,0,0,0,0,1,1,19.333333333333332,10
130,0,0,1,0,0,0,0,0,1,0,16.0,10
129,0,0,1,0,0,0,0,0,0,1,16.0,10
128,0,0,1,0,0,0,0,0,0,0,11.0,10
127,0,0,0,1,1,1,1,1,1,1,18.333333333333332,1
126,0,0,0,1,1,1,1,1,1,0,20.83333333333333,1
125,0,0,0,1,1,1,1,1,0,1,20.83333333333333,1
124,0,0,0,1,1,1,1,1,0,0,21.424519950554572,5
123,0,0,0,1,1,1,1,0,1,1,20.83333333333333,1
122,0,0,0,1,1,1,1,0,1,0,21.4245219906807,5
121,0,0,0,1,1,1,1,0,0,1,21.4245219906807,5
120,0,0,0,1,1,1,1,0,0,0,21.405085388225068,6
119,0,0,0,1,1,1,0,1,1,1,20.83333333333333,1
118,0,0,0,1,1,1,0,1,1,0,21.423985739896853,5
117,0,0,0,1,1,1,0,1,0,1,21.423985739896853,5
116,0,0,0,1,1,1,0,1,0,0,21.405442652001838,6
115,0,0,0,1,1,1,0,0,1,1,21.423987737132112,5
114,0,0,0,1,1,1,0,0,1,0,21.405305906830147,6
113,0,0,0,1,1,1,0,0,0,1,21.405305906830147,6
112,0,0,0,1,1,1,0,0,0,0,19.333333333333332,10
111,0,0,0,1,1,0,1,1,1,1,20.83333333333333,1
110,0,0,0,1,1,0,1,1,1,0,21.42269027757897,5
109,0,0,0,1,1,0,1,1,0,1,21.42269027757897,5
108,0,0,0,1,1,0,1,1,0,0,21.406064447652714,6
107,0,0,0,1,1,0,1,0,1,1,21.42269276364215,5
106,0,0,0,1,1,0,1,0,1,0,21.405927916231974,6
105,0,0,0,1,1,0,1,0,0,1,21.405927916231974,6
104,0,0,0,1,1,0,1,0,0,0,19.333333333333332,10
103,0,0,0,1,1,0,0,1,1,1,21.42231531133413,5
102,0,0,0,1,1,0,0,1,1,0,21.40591795200813,6
101,0,0,0,1,1,0,0,1,0,1,21.40591795200813,6
100,0,0,0,1,1,0,0,1,0,0,19.333333333333332,10
99,0,0,0,1,1,0,0,0,1,1,21.405781519828906,6
98,0,0,0,1,1,0,0,0,1,0,19.333333333333332,10
97,0,0,0,1,1,0,0,0,0,1,19.333333333333332,10
96,0,0,0,1,1,0,0,0,0,0,16.0,10
95,0,0,0,1,0,1,1,1,1,1,20.83333333333333,1
94,0,0,0,1,0,1,1,1,1,0,21.39693802071355,5
93,0,0,0,1,0,1,1,1,0,1,21.39693802071355,5
92,0,0,0,1,0,1,1,1,0,0,21.407245636278923,6
91,0,0,0,1,0,1,1,0,1,1,21.396941619971056,5
90,0,0,0,1,0,1,1,0,1,0,21.407110895631543,6
89,0,0,0,1,0,1,1,0,0,1,21.407110895631543,6
88,0,0,0,1,0,1,1,0,0,0,19.333333333333332,10
87,0,0,0,1,0,1,0,1,1,1,21.396596859393178,5
86,0,0,0,1,0,1,0,1,1,0,21.407041492728062,6
85,0,0,0,1,0,1,0,1,0,1,21.407041492728062,6
84,0,0,0,1,0,1,0,1,0,0,19.333333333333332,10
83,0,0,0,1,0,1,0,0,1,1,21.406906851322198,6
82,0,0,0,1,0,1,0,0,1,0,19.333333333333332,10
81,0,0,0,1,0,1,0,0,0,1,19.333333333333332,10
80,0,0,0,1,0,1,0,0,0,0,16.0,10
79,0,0,0,1,0,0,1,1,1,1,21.3730596945147,5
78,0,0,0,1,0,0,1,1,1,0,21.406644125787327,6
77,0,0,0,1,0,0,1,1,0,1,21.406644125787327,6
76,0,0,0,1,0,0,1,1,0,0,19.333333333333332,10
75,0,0,0,1,0,0,1,0,1,1,21.40650969813241,6
74,0,0,0,1,0,0,1,0,1,0,19.333333333333332,10
73,0,0,0,1,0,0,1,0,0,1,19.333333333333332,10
72,0,0,0,1,0,0,1,0,0,0,16.0,10
71,0,0,0,1,0,0,0,1,1,1,21.40607306722832,6
70,0,0,0,1,0,0,0,1,1,0,19.333333333333332,10
69,0,0,0,1,0,0,0,1,0,1,19.333333333333332,10
68,0,0,0,1,0,0,0,1,0,0,16.0,10
67,0,0,0,1,0,0,0,0,1,1,19.333333333333332,10
66,0,0,0,1,0,0,0,0,1,0,16.0,10
65,0,0,0,1,0,0,0,0,0,1,16.0,10
64,0,0,0,1,0,0,0,0,0,0,11.0,10
63,0,0,0,0,1,1,1,1,1,1,20.83333333333333,1
62,0,0,0,0,1,1,1,1,1,0,21.3010840069813,5
61,0,0,0,0,1,1,1,1,0,1,21.3010840069813,5
60,0,0,0,0,1,1,1,1,0,0,21.338018761009675,5
59,0,0,0,0,1,1,1,0,1,1,21.301089507099988,5
58,0,0,0,0,1,1,1,0,1,0,21.338947894628355,5
57,0,0,0,0,1,1,1,0,0,1,21.338947894628355,5
56,0,0,0,0,1,1,1,0,0,0,19.333333333333332,10
55,0,0,0,0,1,1,0,1,1,1,21.30082435669501,5
54,0,0,0,0,1,1,0,1,1,0,21.339119896481492,5
53,0,0,0,0,1,1,0,1,0,1,21.339119896481492,5
52,0,0,0,0,1,1,0,1,0,0,19.333333333333332,10
51,0,0,0,0,1,1,0,0,1,1,21.338475855363278,5
50,0,0,0,0,1,1,0,0,1,0,19.333333333333332,10
49,0,0,0,0,1,1,0,0,0,1,19.333333333333332,10
48,0,0,0,0,1,1,0,0,0,0,16.0,10
47,0,0,0,0,1,0,1,1,1,1,21.278509956030675,5
46,0,0,0,0,1,0,1,1,1,0,21.331159382727876,5
45,0,0,0,0,1,0,1,1,0,1,21.331159382727876,5
44,0,0,0,0,1,0,1,1,0,0,19.333333333333332,10
43,0,0,0,0,1,0,1,0,1,1,21.33088078977347,5
42,0,0,0,0,1,0,1,0,1,0,19.333333333333332,10
41,0,0,0,0,1,0,1,0,0,1,19.333333333333332,10
40,0,0,0,0,1,0,1,0,0,0,16.0,10
39,0,0,0,0,1,0,0,1,1,1,21.330248141204716,5
38,0,0,0,0,1,0,0,1,1,0,19.333333333333332,10
37,0,0,0,0,1,0,0,1,0,1,19.333333333333332,10
36,0,0,0,0,1,0,0,1,0,0,16.0,10
35,0,0,0,0,1,0,0,0,1,1,19.333333333333332,10
34,0,0,0,0,1,0,0,0,1,0,16.0,10
33,0,0,0,0,1,0,0,0,0,1,16.0,10
32,0,0,0,0,1,0,0,0,0,0,11.0,10
31,0,0,0,0,0,1,1,1,1,1,21.191668166483787,5
30,0,0,0,0,0,1,1,1,1,0,21.266433508849644,5
29,0,0,0,0,0,1,1,1,0,1,21.266433508849644,5
28,0,0,0,0,0,1,1,1,0,0,19.333333333333332,10
27,0,0,0,0,0,1,1,0,1,1,21.265880371103574,5
26,0,0,0,0,0,1,1,0,1,0,19.333333333333332,10
25,0,0,0,0,0,1,1,0,0,1,19.333333333333332,10
24,0,0,0,0,0,1,1,0,0,0,16.0,10
23,0,0,0,0,0,1,0,1,1,1,21.264985933463922,5
22,0,0,0,0,0,1,0,1,1,0,19.333333333333332,10
21,0,0,0,0,0,1,0,1,0,1,19.333333333333332,10
20,0,0,0,0,0,1,0,1,0,0,16.0,10
19,0,0,0,0,0,1,0,0,1,1,19.333333333333332,10
18,0,0,0,0,0,1,0,0,1,0,16.0,10
17,0,0,0,0,0,1,0,0,0,1,16.0,10
16,0,0,0,0,0,1,0,0,0,0,11.0,10
15,0,0,0,0,0,0,1,1,1,1,21.22154418463917,5
14,0,0,0,0,0,0,1,1,1,0,19.333333333333332,10
13,0,0,0,0,0,0,1,1,0,1,19.333333333333332,10
12,0,0,0,0,0,0,1,1,0,0,16.0,10
11,0,0,0,0,0,0,1,0,1,1,19.333333333333332,10
10,0,0,0,0,0,0,1,0,1,0,16.0,10
9,0,0,0,0,0,0,1,0,0,1,16.0,10
8,0,0,0,0,0,0,1,0,0,0,11.0,10
7,0,0,0,0,0,0,0,1,1,1,19.333333333333332,10
6,0,0,0,0,0,0,0,1,1,0,16.0,10
5,0,0,0,0,0,0,0,1,0,1,16.0,10
4,0,0,0,0,0,0,0,1,0,0,11.0,10
3,0,0,0,0,0,0,0,0,1,1,16.0,10
2,0,0,0,0,0,0,0,0,1,0,11.0,10
1,0,0,0,0,0,0,0,0,0,1,11.0,10
0,0,0,0,0,0,0,0,0,0,0,1.0,10
