,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
1278,1,0,0,1,1,1,1,1,1,1,0,20.16666666666668,1
1277,1,0,0,1,1,1,1,1,1,0,1,20.16666666666668,1
1276,1,0,0,1,1,1,1,1,1,0,0,22.91666666666668,1
1275,1,0,0,1,1,1,1,1,0,1,1,20.16666666666668,1
1274,1,0,0,1,1,1,1,1,0,1,0,22.91666666666668,1
1273,1,0,0,1,1,1,1,1,0,0,1,22.91666666666668,1
1272,1,0,0,1,1,1,1,1,0,0,0,25.11666666666668,1
1271,1,0,0,1,1,1,1,0,1,1,1,20.16666666666668,1
1270,1,0,0,1,1,1,1,0,1,1,0,22.91666666666668,1
1269,1,0,0,1,1,1,1,0,1,0,1,22.91666666666668,1
1268,1,0,0,1,1,1,1,0,1,0,0,25.11666666666668,1
1267,1,0,0,1,1,1,1,0,0,1,1,22.91666666666668,1
1266,1,0,0,1,1,1,1,0,0,1,0,25.11666666666668,1
1265,1,0,0,1,1,1,1,0,0,0,1,25.11666666666668,1
1264,1,0,0,1,1,1,1,0,0,0,0,25.787481738723997,6
1263,1,0,0,1,1,1,0,1,1,1,1,20.16666666666668,1
1262,1,0,0,1,1,1,0,1,1,1,0,22.91666666666668,1
1261,1,0,0,1,1,1,0,1,1,0,1,22.91666666666668,1
1260,1,0,0,1,1,1,0,1,1,0,0,25.11666666666668,1
1259,1,0,0,1,1,1,0,1,0,1,1,22.91666666666668,1
1258,1,0,0,1,1,1,0,1,0,1,0,25.11666666666668,1
1257,1,0,0,1,1,1,0,1,0,0,1,25.11666666666668,1
1256,1,0,0,1,1,1,0,1,0,0,0,25.789007299271063,6
1255,1,0,0,1,1,1,0,0,1,1,1,22.91666666666668,1
1254,1,0,0,1,1,1,0,0,1,1,0,25.11666666666668,1
1253,1,0,0,1,1,1,0,0,1,0,1,25.11666666666668,1
1252,1,0,0,1,1,1,0,0,1,0,0,25.789661120255808,6
1251,1,0,0,1,1,1,0,0,0,1,1,25.11666666666668,1
1250,1,0,0,1,1,1,0,0,0,1,0,25.789769261144624,6
1249,1,0,0,1,1,1,0,0,0,0,1,25.789769261144624,6
1248,1,0,0,1,1,1,0,0,0,0,0,25.340898791574286,7
1247,1,0,0,1,1,0,1,1,1,1,1,20.16666666666668,1
1246,1,0,0,1,1,0,1,1,1,1,0,22.91666666666668,1
1245,1,0,0,1,1,0,1,1,1,0,1,22.91666666666668,1
1244,1,0,0,1,1,0,1,1,1,0,0,25.11666666666668,1
1243,1,0,0,1,1,0,1,1,0,1,1,22.91666666666668,1
1242,1,0,0,1,1,0,1,1,0,1,0,25.11666666666668,1
1241,1,0,0,1,1,0,1,1,0,0,1,25.11666666666668,1
1240,1,0,0,1,1,0,1,1,0,0,0,25.764779783726407,5
1239,1,0,0,1,1,0,1,0,1,1,1,22.91666666666668,1
1238,1,0,0,1,1,0,1,0,1,1,0,25.11666666666668,1
1237,1,0,0,1,1,0,1,0,1,0,1,25.11666666666668,1
1236,1,0,0,1,1,0,1,0,1,0,0,25.764768334457514,5
1235,1,0,0,1,1,0,1,0,0,1,1,25.11666666666668,1
1234,1,0,0,1,1,0,1,0,0,1,0,25.76471118551161,5
1233,1,0,0,1,1,0,1,0,0,0,1,25.76471118551161,5
1232,1,0,0,1,1,0,1,0,0,0,0,25.344158015608546,7
1231,1,0,0,1,1,0,0,1,1,1,1,22.91666666666668,1
1230,1,0,0,1,1,0,0,1,1,1,0,25.11666666666668,1
1229,1,0,0,1,1,0,0,1,1,0,1,25.11666666666668,1
1228,1,0,0,1,1,0,0,1,1,0,0,25.761697722579168,5
1227,1,0,0,1,1,0,0,1,0,1,1,25.11666666666668,1
1226,1,0,0,1,1,0,0,1,0,1,0,25.761642163901442,5
1225,1,0,0,1,1,0,0,1,0,0,1,25.761642163901442,5
1224,1,0,0,1,1,0,0,1,0,0,0,25.346287356939143,7
1223,1,0,0,1,1,0,0,0,1,1,1,25.11666666666668,1
1222,1,0,0,1,1,0,0,0,1,1,0,25.76161289591824,5
1221,1,0,0,1,1,0,0,0,1,0,1,25.76161289591824,5
1220,1,0,0,1,1,0,0,0,1,0,0,25.346884671021385,7
1219,1,0,0,1,1,0,0,0,0,1,1,25.76154904298954,5
1218,1,0,0,1,1,0,0,0,0,1,0,25.347051231723476,7
1217,1,0,0,1,1,0,0,0,0,0,1,25.347051231723476,7
1216,1,0,0,1,1,0,0,0,0,0,0,23.812500000000014,8
1215,1,0,0,1,0,1,1,1,1,1,1,20.16666666666668,1
1214,1,0,0,1,0,1,1,1,1,1,0,22.91666666666668,1
1213,1,0,0,1,0,1,1,1,1,0,1,22.91666666666668,1
1212,1,0,0,1,0,1,1,1,1,0,0,25.11666666666668,1
1211,1,0,0,1,0,1,1,1,0,1,1,22.91666666666668,1
1210,1,0,0,1,0,1,1,1,0,1,0,25.11666666666668,1
1209,1,0,0,1,0,1,1,1,0,0,1,25.11666666666668,1
1208,1,0,0,1,0,1,1,1,0,0,0,25.713878525631017,5
1207,1,0,0,1,0,1,1,0,1,1,1,22.91666666666668,1
1206,1,0,0,1,0,1,1,0,1,1,0,25.11666666666668,1
1205,1,0,0,1,0,1,1,0,1,0,1,25.11666666666668,1
1204,1,0,0,1,0,1,1,0,1,0,0,25.713866512639523,5
1203,1,0,0,1,0,1,1,0,0,1,1,25.11666666666668,1
1202,1,0,0,1,0,1,1,0,0,1,0,25.71381670965575,5
1201,1,0,0,1,0,1,1,0,0,0,1,25.71381670965575,5
1200,1,0,0,1,0,1,1,0,0,0,0,25.33106967825649,7
1199,1,0,0,1,0,1,0,1,1,1,1,22.91666666666668,1
1198,1,0,0,1,0,1,0,1,1,1,0,25.11666666666668,1
1197,1,0,0,1,0,1,0,1,1,0,1,25.11666666666668,1
1196,1,0,0,1,0,1,0,1,1,0,0,25.711125845687,5
1195,1,0,0,1,0,1,0,1,0,1,1,25.11666666666668,1
1194,1,0,0,1,0,1,0,1,0,1,0,25.71107752330799,5
1193,1,0,0,1,0,1,0,1,0,0,1,25.71107752330799,5
1192,1,0,0,1,0,1,0,1,0,0,0,25.333286477148583,7
1191,1,0,0,1,0,1,0,0,1,1,1,25.11666666666668,1
1190,1,0,0,1,0,1,0,0,1,1,0,25.711048534766647,5
1189,1,0,0,1,0,1,0,0,1,0,1,25.711048534766647,5
1188,1,0,0,1,0,1,0,0,1,0,0,25.333919331300486,7
1187,1,0,0,1,0,1,0,0,0,1,1,25.710992309374923,5
1186,1,0,0,1,0,1,0,0,0,1,0,25.334097595841982,7
1185,1,0,0,1,0,1,0,0,0,0,1,25.334097595841982,7
1184,1,0,0,1,0,1,0,0,0,0,0,23.812500000000014,8
1183,1,0,0,1,0,0,1,1,1,1,1,22.91666666666668,1
1182,1,0,0,1,0,0,1,1,1,1,0,25.11666666666668,1
1181,1,0,0,1,0,0,1,1,1,0,1,25.11666666666668,1
1180,1,0,0,1,0,0,1,1,1,0,0,25.701822817377895,5
1179,1,0,0,1,0,0,1,1,0,1,1,25.11666666666668,1
1178,1,0,0,1,0,0,1,1,0,1,0,25.701772257353813,5
1177,1,0,0,1,0,0,1,1,0,0,1,25.701772257353813,5
1176,1,0,0,1,0,0,1,1,0,0,0,25.33891593063025,7
1175,1,0,0,1,0,0,1,0,1,1,1,25.11666666666668,1
1174,1,0,0,1,0,0,1,0,1,1,0,25.701745671214603,5
1173,1,0,0,1,0,0,1,0,1,0,1,25.701745671214603,5
1172,1,0,0,1,0,0,1,0,1,0,0,25.3395785655836,7
1171,1,0,0,1,0,0,1,0,0,1,1,25.701687354529888,5
1170,1,0,0,1,0,0,1,0,0,1,0,25.339827059096162,7
1169,1,0,0,1,0,0,1,0,0,0,1,25.339827059096162,7
1168,1,0,0,1,0,0,1,0,0,0,0,23.812500000000014,8
1167,1,0,0,1,0,0,0,1,1,1,1,25.11666666666668,1
1166,1,0,0,1,0,0,0,1,1,1,0,25.699877641829872,5
1165,1,0,0,1,0,0,0,1,1,0,1,25.699877641829872,5
1164,1,0,0,1,0,0,0,1,1,0,0,25.3426922806412,7
1163,1,0,0,1,0,0,0,1,0,1,1,25.699819665736854,5
1162,1,0,0,1,0,0,0,1,0,1,0,25.34274612799294,7
1161,1,0,0,1,0,0,0,1,0,0,1,25.34274612799294,7
1160,1,0,0,1,0,0,0,1,0,0,0,23.812500000000014,8
1159,1,0,0,1,0,0,0,0,1,1,1,25.699773508729564,5
1158,1,0,0,1,0,0,0,0,1,1,0,25.3437564909533,7
1157,1,0,0,1,0,0,0,0,1,0,1,25.3437564909533,7
1156,1,0,0,1,0,0,0,0,1,0,0,23.812500000000014,8
1155,1,0,0,1,0,0,0,0,0,1,1,25.344130686364053,7
1154,1,0,0,1,0,0,0,0,0,1,0,23.812500000000014,8
1153,1,0,0,1,0,0,0,0,0,0,1,23.812500000000014,8
1152,1,0,0,1,0,0,0,0,0,0,0,20.350000000000012,9
1151,1,0,0,0,1,1,1,1,1,1,1,20.16666666666668,1
1150,1,0,0,0,1,1,1,1,1,1,0,22.91666666666668,1
1149,1,0,0,0,1,1,1,1,1,0,1,22.91666666666668,1
1148,1,0,0,0,1,1,1,1,1,0,0,25.11666666666668,1
1147,1,0,0,0,1,1,1,1,0,1,1,22.91666666666668,1
1146,1,0,0,0,1,1,1,1,0,1,0,25.11666666666668,1
1145,1,0,0,0,1,1,1,1,0,0,1,25.11666666666668,1
1144,1,0,0,0,1,1,1,1,0,0,0,25.62866780736572,5
1143,1,0,0,0,1,1,1,0,1,1,1,22.91666666666668,1
1142,1,0,0,0,1,1,1,0,1,1,0,25.11666666666668,1
1141,1,0,0,0,1,1,1,0,1,0,1,25.11666666666668,1
1140,1,0,0,0,1,1,1,0,1,0,0,25.6284715385154,5
1139,1,0,0,0,1,1,1,0,0,1,1,25.11666666666668,1
1138,1,0,0,0,1,1,1,0,0,1,0,25.62841583944482,5
1137,1,0,0,0,1,1,1,0,0,0,1,25.62841583944482,5
1136,1,0,0,0,1,1,1,0,0,0,0,25.31819916731829,7
1135,1,0,0,0,1,1,0,1,1,1,1,22.91666666666668,1
1134,1,0,0,0,1,1,0,1,1,1,0,25.11666666666668,1
1133,1,0,0,0,1,1,0,1,1,0,1,25.11666666666668,1
1132,1,0,0,0,1,1,0,1,1,0,0,25.6260667746911,5
1131,1,0,0,0,1,1,0,1,0,1,1,25.11666666666668,1
1130,1,0,0,0,1,1,0,1,0,1,0,25.626014131985258,5
1129,1,0,0,0,1,1,0,1,0,0,1,25.626014131985258,5
1128,1,0,0,0,1,1,0,1,0,0,0,25.321034777467073,7
1127,1,0,0,0,1,1,0,0,1,1,1,25.11666666666668,1
1126,1,0,0,0,1,1,0,0,1,1,0,25.62580014754562,5
1125,1,0,0,0,1,1,0,0,1,0,1,25.62580014754562,5
1124,1,0,0,0,1,1,0,0,1,0,0,25.322139128122387,7
1123,1,0,0,0,1,1,0,0,0,1,1,25.62573752150006,5
1122,1,0,0,0,1,1,0,0,0,1,0,25.322632842396686,7
1121,1,0,0,0,1,1,0,0,0,0,1,25.322632842396686,7
1120,1,0,0,0,1,1,0,0,0,0,0,23.79259259259261,8
1119,1,0,0,0,1,0,1,1,1,1,1,22.91666666666668,1
1118,1,0,0,0,1,0,1,1,1,1,0,25.11666666666668,1
1117,1,0,0,0,1,0,1,1,1,0,1,25.11666666666668,1
1116,1,0,0,0,1,0,1,1,1,0,0,25.61889256972909,5
1115,1,0,0,0,1,0,1,1,0,1,1,25.11666666666668,1
1114,1,0,0,0,1,0,1,1,0,1,0,25.618836020422805,5
1113,1,0,0,0,1,0,1,1,0,0,1,25.618836020422805,5
1112,1,0,0,0,1,0,1,1,0,0,0,25.326593716144977,7
1111,1,0,0,0,1,0,1,0,1,1,1,25.11666666666668,1
1110,1,0,0,0,1,0,1,0,1,1,0,25.61862512006938,5
1109,1,0,0,0,1,0,1,0,1,0,1,25.61862512006938,5
1108,1,0,0,0,1,0,1,0,1,0,0,25.327294418543023,7
1107,1,0,0,0,1,0,1,0,0,1,1,25.618558756632527,5
1106,1,0,0,0,1,0,1,0,0,1,0,25.32777058062049,7
1105,1,0,0,0,1,0,1,0,0,0,1,25.32777058062049,7
1104,1,0,0,0,1,0,1,0,0,0,0,23.79259259259261,8
1103,1,0,0,0,1,0,0,1,1,1,1,25.11666666666668,1
1102,1,0,0,0,1,0,0,1,1,1,0,25.616943261662176,5
1101,1,0,0,0,1,0,0,1,1,0,1,25.616943261662176,5
1100,1,0,0,0,1,0,0,1,1,0,0,25.330164985514276,7
1099,1,0,0,0,1,0,0,1,0,1,1,25.616877925984426,5
1098,1,0,0,0,1,0,0,1,0,1,0,25.330471547766376,7
1097,1,0,0,0,1,0,0,1,0,0,1,25.330471547766376,7
1096,1,0,0,0,1,0,0,1,0,0,0,23.79259259259261,8
1095,1,0,0,0,1,0,0,0,1,1,1,25.616646788974386,5
1094,1,0,0,0,1,0,0,0,1,1,0,25.33168072590402,7
1093,1,0,0,0,1,0,0,0,1,0,1,25.33168072590402,7
1092,1,0,0,0,1,0,0,0,1,0,0,23.79259259259261,8
1091,1,0,0,0,1,0,0,0,0,1,1,25.332555236654787,7
1090,1,0,0,0,1,0,0,0,0,1,0,23.79259259259261,8
1089,1,0,0,0,1,0,0,0,0,0,1,23.79259259259261,8
1088,1,0,0,0,1,0,0,0,0,0,0,20.350000000000012,9
1087,1,0,0,0,0,1,1,1,1,1,1,22.91666666666668,1
1086,1,0,0,0,0,1,1,1,1,1,0,25.10811027519025,3
1085,1,0,0,0,0,1,1,1,1,0,1,25.10811027519025,3
1084,1,0,0,0,0,1,1,1,1,0,0,25.583592513287652,5
1083,1,0,0,0,0,1,1,1,0,1,1,25.112807973905223,3
1082,1,0,0,0,0,1,1,1,0,1,0,25.58354319544908,5
1081,1,0,0,0,0,1,1,1,0,0,1,25.58354319544908,5
1080,1,0,0,0,0,1,1,1,0,0,0,25.340367335170665,7
1079,1,0,0,0,0,1,1,0,1,1,1,25.11666666666668,1
1078,1,0,0,0,0,1,1,0,1,1,0,25.583339210123793,5
1077,1,0,0,0,0,1,1,0,1,0,1,25.583339210123793,5
1076,1,0,0,0,0,1,1,0,1,0,0,25.34104460717522,7
1075,1,0,0,0,0,1,1,0,0,1,1,25.583275859635588,5
1074,1,0,0,0,0,1,1,0,0,1,0,25.341380920727705,7
1073,1,0,0,0,0,1,1,0,0,0,1,25.341380920727705,7
1072,1,0,0,0,0,1,1,0,0,0,0,23.79259259259261,8
1071,1,0,0,0,0,1,0,1,1,1,1,25.11666666666668,1
1070,1,0,0,0,0,1,0,1,1,1,0,25.58097061611109,4
1069,1,0,0,0,0,1,0,1,1,0,1,25.58097061611109,4
1068,1,0,0,0,0,1,0,1,1,0,0,25.343599972288153,7
1067,1,0,0,0,0,1,0,1,0,1,1,25.580618105738324,4
1066,1,0,0,0,0,1,0,1,0,1,0,25.34376861610094,7
1065,1,0,0,0,0,1,0,1,0,0,1,25.34376861610094,7
1064,1,0,0,0,0,1,0,1,0,0,0,23.79259259259261,8
1063,1,0,0,0,0,1,0,0,1,1,1,25.571044238634006,4
1062,1,0,0,0,0,1,0,0,1,1,0,25.344987776448477,7
1061,1,0,0,0,0,1,0,0,1,0,1,25.344987776448477,7
1060,1,0,0,0,0,1,0,0,1,0,0,23.79259259259261,8
1059,1,0,0,0,0,1,0,0,0,1,1,25.345718442855066,7
1058,1,0,0,0,0,1,0,0,0,1,0,23.79259259259261,8
1057,1,0,0,0,0,1,0,0,0,0,1,23.79259259259261,8
1056,1,0,0,0,0,1,0,0,0,0,0,20.350000000000012,9
1055,1,0,0,0,0,0,1,1,1,1,1,25.11666666666668,1
1054,1,0,0,0,0,0,1,1,1,1,0,25.54993216344597,4
1053,1,0,0,0,0,0,1,1,1,0,1,25.54993216344597,4
1052,1,0,0,0,0,0,1,1,1,0,0,25.34990067347072,7
1051,1,0,0,0,0,0,1,1,0,1,1,25.54965897153345,4
1050,1,0,0,0,0,0,1,1,0,1,0,25.35016122740853,7
1049,1,0,0,0,0,0,1,1,0,0,1,25.35016122740853,7
1048,1,0,0,0,0,0,1,1,0,0,0,23.79259259259261,8
1047,1,0,0,0,0,0,1,0,1,1,1,25.540358564813207,4
1046,1,0,0,0,0,0,1,0,1,1,0,25.351014225985008,7
1045,1,0,0,0,0,0,1,0,1,0,1,25.351014225985008,7
1044,1,0,0,0,0,0,1,0,1,0,0,23.79259259259261,8
1043,1,0,0,0,0,0,1,0,0,1,1,25.351838648521394,7
1042,1,0,0,0,0,0,1,0,0,1,0,23.79259259259261,8
1041,1,0,0,0,0,0,1,0,0,0,1,23.79259259259261,8
1040,1,0,0,0,0,0,1,0,0,0,0,20.350000000000012,9
1039,1,0,0,0,0,0,0,1,1,1,1,25.512950053823708,4
1038,1,0,0,0,0,0,0,1,1,1,0,25.35383791148902,7
1037,1,0,0,0,0,0,0,1,1,0,1,25.35383791148902,7
1036,1,0,0,0,0,0,0,1,1,0,0,23.79259259259261,8
1035,1,0,0,0,0,0,0,1,0,1,1,25.354492008230263,7
1034,1,0,0,0,0,0,0,1,0,1,0,23.79259259259261,8
1033,1,0,0,0,0,0,0,1,0,0,1,23.79259259259261,8
1032,1,0,0,0,0,0,0,1,0,0,0,20.350000000000012,9
1031,1,0,0,0,0,0,0,0,1,1,1,25.35622809389951,7
1030,1,0,0,0,0,0,0,0,1,1,0,23.79259259259261,8
1029,1,0,0,0,0,0,0,0,1,0,1,23.79259259259261,8
1028,1,0,0,0,0,0,0,0,1,0,0,20.350000000000012,9
1027,1,0,0,0,0,0,0,0,0,1,1,23.79259259259261,8
1026,1,0,0,0,0,0,0,0,0,1,0,20.350000000000012,9
1025,1,0,0,0,0,0,0,0,0,0,1,20.350000000000012,9
1024,1,0,0,0,0,0,0,0,0,0,0,11.000000000000009,10
1023,0,1,1,1,1,1,1,1,1,1,1,11.000000000000009,1
1022,0,1,1,1,1,1,1,1,1,1,0,16.50000000000001,1
1021,0,1,1,1,1,1,1,1,1,0,1,16.50000000000001,1
1020,0,1,1,1,1,1,1,1,1,0,0,20.16666666666668,1
1019,0,1,1,1,1,1,1,1,0,1,1,16.50000000000001,1
1018,0,1,1,1,1,1,1,1,0,1,0,20.16666666666668,1
1017,0,1,1,1,1,1,1,1,0,0,1,20.16666666666668,1
1016,0,1,1,1,1,1,1,1,0,0,0,22.91666666666668,1
1015,0,1,1,1,1,1,1,0,1,1,1,16.50000000000001,1
1014,0,1,1,1,1,1,1,0,1,1,0,20.16666666666668,1
1013,0,1,1,1,1,1,1,0,1,0,1,20.16666666666668,1
1012,0,1,1,1,1,1,1,0,1,0,0,22.91666666666668,1
1011,0,1,1,1,1,1,1,0,0,1,1,20.16666666666668,1
1010,0,1,1,1,1,1,1,0,0,1,0,22.91666666666668,1
1009,0,1,1,1,1,1,1,0,0,0,1,22.91666666666668,1
1008,0,1,1,1,1,1,1,0,0,0,0,25.11666666666668,1
1007,0,1,1,1,1,1,0,1,1,1,1,16.50000000000001,1
1006,0,1,1,1,1,1,0,1,1,1,0,20.16666666666668,1
1005,0,1,1,1,1,1,0,1,1,0,1,20.16666666666668,1
1004,0,1,1,1,1,1,0,1,1,0,0,22.91666666666668,1
1003,0,1,1,1,1,1,0,1,0,1,1,20.16666666666668,1
1002,0,1,1,1,1,1,0,1,0,1,0,22.91666666666668,1
1001,0,1,1,1,1,1,0,1,0,0,1,22.91666666666668,1
1000,0,1,1,1,1,1,0,1,0,0,0,25.11666666666668,1
999,0,1,1,1,1,1,0,0,1,1,1,20.16666666666668,1
998,0,1,1,1,1,1,0,0,1,1,0,22.91666666666668,1
997,0,1,1,1,1,1,0,0,1,0,1,22.91666666666668,1
996,0,1,1,1,1,1,0,0,1,0,0,25.11666666666668,1
995,0,1,1,1,1,1,0,0,0,1,1,22.91666666666668,1
994,0,1,1,1,1,1,0,0,0,1,0,25.11666666666668,1
993,0,1,1,1,1,1,0,0,0,0,1,25.11666666666668,1
992,0,1,1,1,1,1,0,0,0,0,0,25.032386981233902,8
991,0,1,1,1,1,0,1,1,1,1,1,16.50000000000001,1
990,0,1,1,1,1,0,1,1,1,1,0,20.16666666666668,1
989,0,1,1,1,1,0,1,1,1,0,1,20.16666666666668,1
988,0,1,1,1,1,0,1,1,1,0,0,22.91666666666668,1
987,0,1,1,1,1,0,1,1,0,1,1,20.16666666666668,1
986,0,1,1,1,1,0,1,1,0,1,0,22.91666666666668,1
985,0,1,1,1,1,0,1,1,0,0,1,22.91666666666668,1
984,0,1,1,1,1,0,1,1,0,0,0,25.11666666666668,1
983,0,1,1,1,1,0,1,0,1,1,1,20.16666666666668,1
982,0,1,1,1,1,0,1,0,1,1,0,22.91666666666668,1
981,0,1,1,1,1,0,1,0,1,0,1,22.91666666666668,1
980,0,1,1,1,1,0,1,0,1,0,0,25.11666666666668,1
979,0,1,1,1,1,0,1,0,0,1,1,22.91666666666668,1
978,0,1,1,1,1,0,1,0,0,1,0,25.11666666666668,1
977,0,1,1,1,1,0,1,0,0,0,1,25.11666666666668,1
976,0,1,1,1,1,0,1,0,0,0,0,25.0351571705074,8
975,0,1,1,1,1,0,0,1,1,1,1,20.16666666666668,1
974,0,1,1,1,1,0,0,1,1,1,0,22.91666666666668,1
973,0,1,1,1,1,0,0,1,1,0,1,22.91666666666668,1
972,0,1,1,1,1,0,0,1,1,0,0,25.11666666666668,1
971,0,1,1,1,1,0,0,1,0,1,1,22.91666666666668,1
970,0,1,1,1,1,0,0,1,0,1,0,25.11666666666668,1
969,0,1,1,1,1,0,0,1,0,0,1,25.11666666666668,1
968,0,1,1,1,1,0,0,1,0,0,0,25.036235005320027,8
967,0,1,1,1,1,0,0,0,1,1,1,22.91666666666668,1
966,0,1,1,1,1,0,0,0,1,1,0,25.11666666666668,1
965,0,1,1,1,1,0,0,0,1,0,1,25.11666666666668,1
964,0,1,1,1,1,0,0,0,1,0,0,25.036436401058204,8
963,0,1,1,1,1,0,0,0,0,1,1,25.11666666666668,1
962,0,1,1,1,1,0,0,0,0,1,0,25.036438703535474,8
961,0,1,1,1,1,0,0,0,0,0,1,25.036438703535474,8
960,0,1,1,1,1,0,0,0,0,0,0,23.91666666666668,11
959,0,1,1,1,0,1,1,1,1,1,1,16.50000000000001,1
958,0,1,1,1,0,1,1,1,1,1,0,20.16666666666668,1
957,0,1,1,1,0,1,1,1,1,0,1,20.16666666666668,1
956,0,1,1,1,0,1,1,1,1,0,0,22.91666666666668,1
955,0,1,1,1,0,1,1,1,0,1,1,20.16666666666668,1
954,0,1,1,1,0,1,1,1,0,1,0,22.91666666666668,1
953,0,1,1,1,0,1,1,1,0,0,1,22.91666666666668,1
952,0,1,1,1,0,1,1,1,0,0,0,25.11666666666668,1
951,0,1,1,1,0,1,1,0,1,1,1,20.16666666666668,1
950,0,1,1,1,0,1,1,0,1,1,0,22.91666666666668,1
949,0,1,1,1,0,1,1,0,1,0,1,22.91666666666668,1
948,0,1,1,1,0,1,1,0,1,0,0,25.11666666666668,1
947,0,1,1,1,0,1,1,0,0,1,1,22.91666666666668,1
946,0,1,1,1,0,1,1,0,0,1,0,25.11666666666668,1
945,0,1,1,1,0,1,1,0,0,0,1,25.11666666666668,1
944,0,1,1,1,0,1,1,0,0,0,0,25.04607240887195,8
943,0,1,1,1,0,1,0,1,1,1,1,20.16666666666668,1
942,0,1,1,1,0,1,0,1,1,1,0,22.91666666666668,1
941,0,1,1,1,0,1,0,1,1,0,1,22.91666666666668,1
940,0,1,1,1,0,1,0,1,1,0,0,25.11666666666668,1
939,0,1,1,1,0,1,0,1,0,1,1,22.91666666666668,1
938,0,1,1,1,0,1,0,1,0,1,0,25.11666666666668,1
937,0,1,1,1,0,1,0,1,0,0,1,25.11666666666668,1
936,0,1,1,1,0,1,0,1,0,0,0,25.04729776410248,8
935,0,1,1,1,0,1,0,0,1,1,1,22.91666666666668,1
934,0,1,1,1,0,1,0,0,1,1,0,25.11666666666668,1
933,0,1,1,1,0,1,0,0,1,0,1,25.11666666666668,1
932,0,1,1,1,0,1,0,0,1,0,0,25.047693085983916,8
931,0,1,1,1,0,1,0,0,0,1,1,25.11666666666668,1
930,0,1,1,1,0,1,0,0,0,1,0,25.047712598168786,8
929,0,1,1,1,0,1,0,0,0,0,1,25.047712598168786,8
928,0,1,1,1,0,1,0,0,0,0,0,23.91666666666668,11
927,0,1,1,1,0,0,1,1,1,1,1,20.16666666666668,1
926,0,1,1,1,0,0,1,1,1,1,0,22.91666666666668,1
925,0,1,1,1,0,0,1,1,1,0,1,22.91666666666668,1
924,0,1,1,1,0,0,1,1,1,0,0,25.11666666666668,1
923,0,1,1,1,0,0,1,1,0,1,1,22.91666666666668,1
922,0,1,1,1,0,0,1,1,0,1,0,25.11666666666668,1
921,0,1,1,1,0,0,1,1,0,0,1,25.11666666666668,1
920,0,1,1,1,0,0,1,1,0,0,0,25.053911328108228,8
919,0,1,1,1,0,0,1,0,1,1,1,22.91666666666668,1
918,0,1,1,1,0,0,1,0,1,1,0,25.11666666666668,1
917,0,1,1,1,0,0,1,0,1,0,1,25.11666666666668,1
916,0,1,1,1,0,0,1,0,1,0,0,25.054324529223017,8
915,0,1,1,1,0,0,1,0,0,1,1,25.11666666666668,1
914,0,1,1,1,0,0,1,0,0,1,0,25.054439949606937,8
913,0,1,1,1,0,0,1,0,0,0,1,25.054439949606937,8
912,0,1,1,1,0,0,1,0,0,0,0,23.91666666666668,11
911,0,1,1,1,0,0,0,1,1,1,1,22.91666666666668,1
910,0,1,1,1,0,0,0,1,1,1,0,25.11666666666668,1
909,0,1,1,1,0,0,0,1,1,0,1,25.11666666666668,1
908,0,1,1,1,0,0,0,1,1,0,0,25.056907875816997,8
907,0,1,1,1,0,0,0,1,0,1,1,25.11666666666668,1
906,0,1,1,1,0,0,0,1,0,1,0,25.057040203173152,8
905,0,1,1,1,0,0,0,1,0,0,1,25.057040203173152,8
904,0,1,1,1,0,0,0,1,0,0,0,23.91666666666668,11
903,0,1,1,1,0,0,0,0,1,1,1,25.11666666666668,1
902,0,1,1,1,0,0,0,0,1,1,0,25.058040925431182,8
901,0,1,1,1,0,0,0,0,1,0,1,25.058040925431182,8
900,0,1,1,1,0,0,0,0,1,0,0,23.91666666666668,11
899,0,1,1,1,0,0,0,0,0,1,1,25.058139959239185,8
898,0,1,1,1,0,0,0,0,0,1,0,23.91666666666668,11
897,0,1,1,1,0,0,0,0,0,0,1,23.91666666666668,11
896,0,1,1,1,0,0,0,0,0,0,0,21.16666666666668,11
895,0,1,1,0,1,1,1,1,1,1,1,16.50000000000001,1
894,0,1,1,0,1,1,1,1,1,1,0,20.16666666666668,1
893,0,1,1,0,1,1,1,1,1,0,1,20.16666666666668,1
892,0,1,1,0,1,1,1,1,1,0,0,22.91666666666668,1
891,0,1,1,0,1,1,1,1,0,1,1,20.16666666666668,1
890,0,1,1,0,1,1,1,1,0,1,0,22.91666666666668,1
889,0,1,1,0,1,1,1,1,0,0,1,22.91666666666668,1
888,0,1,1,0,1,1,1,1,0,0,0,25.11666666666668,1
887,0,1,1,0,1,1,1,0,1,1,1,20.16666666666668,1
886,0,1,1,0,1,1,1,0,1,1,0,22.91666666666668,1
885,0,1,1,0,1,1,1,0,1,0,1,22.91666666666668,1
884,0,1,1,0,1,1,1,0,1,0,0,25.11666666666668,1
883,0,1,1,0,1,1,1,0,0,1,1,22.91666666666668,1
882,0,1,1,0,1,1,1,0,0,1,0,25.11666666666668,1
881,0,1,1,0,1,1,1,0,0,0,1,25.11666666666668,1
880,0,1,1,0,1,1,1,0,0,0,0,25.049787631860983,8
