,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
1912,1,1,1,0,1,1,1,1,0,0,0,22.91666666666668,1
1911,1,1,1,0,1,1,1,0,1,1,1,16.50000000000001,1
1910,1,1,1,0,1,1,1,0,1,1,0,20.16666666666668,1
1909,1,1,1,0,1,1,1,0,1,0,1,20.16666666666668,1
1908,1,1,1,0,1,1,1,0,1,0,0,22.91666666666668,1
1907,1,1,1,0,1,1,1,0,0,1,1,20.16666666666668,1
1906,1,1,1,0,1,1,1,0,0,1,0,22.91666666666668,1
1905,1,1,1,0,1,1,1,0,0,0,1,22.91666666666668,1
1904,1,1,1,0,1,1,1,0,0,0,0,25.11666666666668,1
1903,1,1,1,0,1,1,0,1,1,1,1,16.50000000000001,1
1902,1,1,1,0,1,1,0,1,1,1,0,20.16666666666668,1
1901,1,1,1,0,1,1,0,1,1,0,1,20.16666666666668,1
1900,1,1,1,0,1,1,0,1,1,0,0,22.91666666666668,1
1899,1,1,1,0,1,1,0,1,0,1,1,20.16666666666668,1
1898,1,1,1,0,1,1,0,1,0,1,0,22.91666666666668,1
1897,1,1,1,0,1,1,0,1,0,0,1,22.91666666666668,1
1896,1,1,1,0,1,1,0,1,0,0,0,25.11666666666668,1
1895,1,1,1,0,1,1,0,0,1,1,1,20.16666666666668,1
1894,1,1,1,0,1,1,0,0,1,1,0,22.91666666666668,1
1893,1,1,1,0,1,1,0,0,1,0,1,22.91666666666668,1
1892,1,1,1,0,1,1,0,0,1,0,0,25.11666666666668,1
1891,1,1,1,0,1,1,0,0,0,1,1,22.91666666666668,1
1890,1,1,1,0,1,1,0,0,0,1,0,25.11666666666668,1
1889,1,1,1,0,1,1,0,0,0,0,1,25.11666666666668,1
1888,1,1,1,0,1,1,0,0,0,0,0,26.583333333333353,2
1887,1,1,1,0,1,0,1,1,1,1,1,16.50000000000001,1
1886,1,1,1,0,1,0,1,1,1,1,0,20.16666666666668,1
1885,1,1,1,0,1,0,1,1,1,0,1,20.16666666666668,1
1884,1,1,1,0,1,0,1,1,1,0,0,22.91666666666668,1
1883,1,1,1,0,1,0,1,1,0,1,1,20.16666666666668,1
1882,1,1,1,0,1,0,1,1,0,1,0,22.91666666666668,1
1881,1,1,1,0,1,0,1,1,0,0,1,22.91666666666668,1
1880,1,1,1,0,1,0,1,1,0,0,0,25.11666666666668,1
1879,1,1,1,0,1,0,1,0,1,1,1,20.16666666666668,1
1878,1,1,1,0,1,0,1,0,1,1,0,22.91666666666668,1
1877,1,1,1,0,1,0,1,0,1,0,1,22.91666666666668,1
1876,1,1,1,0,1,0,1,0,1,0,0,25.11666666666668,1
1875,1,1,1,0,1,0,1,0,0,1,1,22.91666666666668,1
1874,1,1,1,0,1,0,1,0,0,1,0,25.11666666666668,1
1873,1,1,1,0,1,0,1,0,0,0,1,25.11666666666668,1
1872,1,1,1,0,1,0,1,0,0,0,0,26.58333333333335,2
1871,1,1,1,0,1,0,0,1,1,1,1,20.16666666666668,1
1870,1,1,1,0,1,0,0,1,1,1,0,22.91666666666668,1
1869,1,1,1,0,1,0,0,1,1,0,1,22.91666666666668,1
1868,1,1,1,0,1,0,0,1,1,0,0,25.11666666666668,1
1867,1,1,1,0,1,0,0,1,0,1,1,22.91666666666668,1
1866,1,1,1,0,1,0,0,1,0,1,0,25.11666666666668,1
1865,1,1,1,0,1,0,0,1,0,0,1,25.11666666666668,1
1864,1,1,1,0,1,0,0,1,0,0,0,26.58333333333335,2
1863,1,1,1,0,1,0,0,0,1,1,1,22.91666666666668,1
1862,1,1,1,0,1,0,0,0,1,1,0,25.11666666666668,1
1861,1,1,1,0,1,0,0,0,1,0,1,25.11666666666668,1
1860,1,1,1,0,1,0,0,0,1,0,0,26.583333333333346,2
1859,1,1,1,0,1,0,0,0,0,1,1,25.11666666666668,1
1858,1,1,1,0,1,0,0,0,0,1,0,26.583333333333346,2
1857,1,1,1,0,1,0,0,0,0,0,1,26.583333333333343,2
1856,1,1,1,0,1,0,0,0,0,0,0,27.477642276422774,3
1855,1,1,1,0,0,1,1,1,1,1,1,16.50000000000001,1
1854,1,1,1,0,0,1,1,1,1,1,0,20.16666666666668,1
1853,1,1,1,0,0,1,1,1,1,0,1,20.16666666666668,1
1852,1,1,1,0,0,1,1,1,1,0,0,22.91666666666668,1
1851,1,1,1,0,0,1,1,1,0,1,1,20.16666666666668,1
1850,1,1,1,0,0,1,1,1,0,1,0,22.91666666666668,1
1849,1,1,1,0,0,1,1,1,0,0,1,22.91666666666668,1
1848,1,1,1,0,0,1,1,1,0,0,0,25.11666666666668,1
1847,1,1,1,0,0,1,1,0,1,1,1,20.16666666666668,1
1846,1,1,1,0,0,1,1,0,1,1,0,22.91666666666668,1
1845,1,1,1,0,0,1,1,0,1,0,1,22.91666666666668,1
1844,1,1,1,0,0,1,1,0,1,0,0,25.11666666666668,1
1843,1,1,1,0,0,1,1,0,0,1,1,22.91666666666668,1
1842,1,1,1,0,0,1,1,0,0,1,0,25.11666666666668,1
1841,1,1,1,0,0,1,1,0,0,0,1,25.11666666666668,1
1840,1,1,1,0,0,1,1,0,0,0,0,26.58333333333335,2
1839,1,1,1,0,0,1,0,1,1,1,1,20.16666666666668,1
1838,1,1,1,0,0,1,0,1,1,1,0,22.91666666666668,1
1837,1,1,1,0,0,1,0,1,1,0,1,22.91666666666668,1
1836,1,1,1,0,0,1,0,1,1,0,0,25.11666666666668,1
1835,1,1,1,0,0,1,0,1,0,1,1,22.91666666666668,1
1834,1,1,1,0,0,1,0,1,0,1,0,25.11666666666668,1
1833,1,1,1,0,0,1,0,1,0,0,1,25.11666666666668,1
1832,1,1,1,0,0,1,0,1,0,0,0,26.583333333333346,2
1831,1,1,1,0,0,1,0,0,1,1,1,22.91666666666668,1
1830,1,1,1,0,0,1,0,0,1,1,0,25.11666666666668,1
1829,1,1,1,0,0,1,0,0,1,0,1,25.11666666666668,1
1828,1,1,1,0,0,1,0,0,1,0,0,26.583333333333346,2
1827,1,1,1,0,0,1,0,0,0,1,1,25.11666666666668,1
1826,1,1,1,0,0,1,0,0,0,1,0,26.583333333333343,2
1825,1,1,1,0,0,1,0,0,0,0,1,26.58333333333334,2
1824,1,1,1,0,0,1,0,0,0,0,0,27.380434782608713,3
1823,1,1,1,0,0,0,1,1,1,1,1,20.16666666666668,1
1822,1,1,1,0,0,0,1,1,1,1,0,22.91666666666668,1
1821,1,1,1,0,0,0,1,1,1,0,1,22.91666666666668,1
1820,1,1,1,0,0,0,1,1,1,0,0,25.11666666666668,1
1819,1,1,1,0,0,0,1,1,0,1,1,22.91666666666668,1
1818,1,1,1,0,0,0,1,1,0,1,0,25.11666666666668,1
1817,1,1,1,0,0,0,1,1,0,0,1,25.11666666666668,1
1816,1,1,1,0,0,0,1,1,0,0,0,26.583333333333346,2
1815,1,1,1,0,0,0,1,0,1,1,1,22.91666666666668,1
1814,1,1,1,0,0,0,1,0,1,1,0,25.11666666666668,1
1813,1,1,1,0,0,0,1,0,1,0,1,25.11666666666668,1
1812,1,1,1,0,0,0,1,0,1,0,0,26.583333333333343,2
1811,1,1,1,0,0,0,1,0,0,1,1,25.11666666666668,1
1810,1,1,1,0,0,0,1,0,0,1,0,26.57944725546636,3
1809,1,1,1,0,0,0,1,0,0,0,1,26.57944725546636,3
1808,1,1,1,0,0,0,1,0,0,0,0,27.316666666666688,3
1807,1,1,1,0,0,0,0,1,1,1,1,22.91666666666668,1
1806,1,1,1,0,0,0,0,1,1,1,0,25.11666666666668,1
1805,1,1,1,0,0,0,0,1,1,0,1,25.11666666666668,1
1804,1,1,1,0,0,0,0,1,1,0,0,26.565494155897145,3
1803,1,1,1,0,0,0,0,1,0,1,1,25.11666666666668,1
