,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.405840245791506,All
9,0,0,0,0,1,0,0,1,13.000000000000005,8
8,0,0,0,0,1,0,0,0,9.000000000000004,8
7,0,0,0,0,0,1,1,1,15.30310504981832,4
6,0,0,0,0,0,1,1,0,13.000000000000005,8
5,0,0,0,0,0,1,0,1,13.000000000000005,8
4,0,0,0,0,0,1,0,0,9.000000000000004,8
3,0,0,0,0,0,0,1,1,13.000000000000005,8
2,0,0,0,0,0,0,1,0,9.000000000000004,8
1,0,0,0,0,0,0,0,1,9.000000000000004,8
0,0,0,0,0,0,0,0,0,1.0,8
