,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
2443,49,36600.61756976529,47,36600.62443850608,0.011151042952466734,36684.253464932895,0.010905632808621769,,0.010905632808621769,91434.40427486344,0.002577319587628866,91528.32460673108,1,36929.08173277603,0.00022222222222222223,93780.72782070377,0.00022222222222222223,59284.55976587841
2442,49,36601.451067650094,47,36601.4585139245,0.011263584687018002,36685.09772438093,0.0110133404673565,,0.0110133404673565,91435.24860947281,0.0025906735751295338,91529.42339237066,1,36931.26832169731,0.00022222222222222223,93784.1128557659,0.00022222222222222223,59286.699654511336
2441,49,36602.28040145123,49,36602.28713744489,0.011377923260648137,36685.9374724772,0.011122706919419703,,0.011122706919419703,91436.08843372259,0.0026041666666666665,91530.51797247396,1,36933.45384865214,0.00022222222222222223,93787.49549173015,0.00022222222222222223,59288.83802652712
2440,51,36603.10546223845,49,36603.112076310914,0.011494066074970756,36686.77270982627,0.011233693803224545,,0.011233693803224545,91436.9237484019,0.002617801047120419,91531.60834532663,1,36935.63831467156,0.00022222222222222223,93790.8757312353,0.00022222222222222223,59290.97488359383
2439,51,36603.92591333913,49,36603.93317156296,0.011612121229081994,36687.60343702247,0.011346333380067521,,0.011346333380067521,91437.7545541313,0.002631578947368421,91532.694509171,1,36937.82172078509,0.00022222222222222223,93794.25357691613,0.00022222222222222223,59293.11022737712
2438,51,36604.742057826494,49,36604.74986913755,0.011731887848597109,36688.4296546503,0.011460658740027573,,0.011460658740027573,91438.58085152111,0.0026455026455026454,91533.77646220577,1,36940.004068020775,0.00022222222222222223,93797.62903140331,0.00022222222222222223,59295.24405954004
2437,51,36605.554039142604,51,36605.56112556504,0.011853521661958653,36689.25136328286,0.011576703837002062,,0.011576703837002062,91439.40264117155,0.0026595744680851063,91534.85420258513,1,36942.185357405164,0.00022222222222222223,93801.00209732377,0.00022222222222222223,59297.37638174315
2436,53,36606.36160898304,51,36606.36871663304,0.011977206503443973,36690.06856348299,0.011693763814015322,,0.011693763814015322,91440.21992566327,0.00267379679144385,91535.92772841851,1,36944.3655899633,0.00022222222222222223,93804.37277730026,0.00022222222222222223,59299.50719564448
2435,53,36607.16468609463,51,36607.17247341079,0.012102612659331368,36690.881255802844,0.011814093588283236,,0.011814093588283236,91441.03269993403,0.002688172043010753,91536.99703776982,1,36946.54476671875,0.00022222222222222223,93807.74107395166,0.00022222222222222223,59301.63650289961
2434,53,36607.96350229211,53,36607.97071103093,0.012229906214142277,36691.68944078367,0.011935510747276524,,0.011935510747276524,91441.84096987841,0.002702702702702703,91538.06212865657,1,36948.72288869358,0.00022222222222222223,93811.10698989281,0.00022222222222222223,59303.76430516151
2433,53,36608.75813822175,53,36608.76531109847,0.01236153384177732,36692.49311897608,0.012058792719426316,,0.012058792719426316,91442.64473437308,0.002717391304347826,91539.12299904987,1,36950.899956908375,0.00022222222222222223,93814.47052773464,0.00022222222222222223,59305.89060408074
2432,55,36609.5481582711,53,36609.55580970745,0.012492200660495032,36693.29229084943,0.012183975032313832,,0.012183975032313832,91443.44399397378,0.00273224043715847,91540.17964687332,1,36953.07597238226,0.00022222222222222223,93817.83169008419,0.00022222222222222223,59308.015401305354
2431,55,36610.33386056489,53,36610.34206999315,0.012624984302534132,36694.08695694587,0.012311099160674955,,0.012311099160674955,91444.23874921285,0.0027472527472527475,91541.2320700025,1,36955.25093613286,0.00022222222222222223,93821.19047954443,0.00022222222222222223,59310.13869848086
2430,55,36611.115378084956,55,36611.12292068247,0.012760188621807868,36694.87711776217,0.012438322413372541,,0.012438322416758126,91445.02900568148,0.0027624309392265192,91542.28026626418,1,36957.424849176336,0.00022222222222222223,93824.54689871451,0.00022222222222222223,59312.26049725031
2429,57,36611.89241537462,55,36611.900095231125,0.012897768592868748,36695.662773781,0.012570198094063605,,0.012570198113487393,91445.81475257788,0.002777777777777778,91543.32423343605,1,36959.59771252737,0.00022222222222222223,93827.90095018959,0.00022222222222222223,59314.3807992543
2428,57,36612.66503635146,55,36612.67337993452,0.01303795352726082,36696.44392547421,0.012703876616525377,,0.012703876627893452,91446.59599708866,0.002793296089385475,91544.36396924566,1,36961.76952719918,0.00022222222222222223,93831.252636561,0.00022222222222222223,59316.49960613092
2427,57,36613.433432198355,57,36613.44113212915,0.013180413617026234,36697.22057330469,0.012839494671409058,,0.012839494690268002,91447.37273954364,0.0028089887640449437,91545.39947136957,1,36963.940294203516,0.00022222222222222223,93834.60196041602,0.00022222222222222223,59318.61691951578
2426,59,36614.197440558084,57,36614.20530473081,0.01332529018489858,36697.99271772254,0.012976563446857,,0.012976563447459436,91448.1449819123,0.002824858757062147,91546.43073743321,1,36966.11001455067,0.00022222222222222223,93837.94892433826,0.00022222222222222223,59320.732741042135
2425,59,36614.956968220926,57,36614.965399544264,0.01347259790448734,36698.760359166525,0.013117549652063524,,0.013117549647931591,91448.91271847209,0.002840909090909091,91547.45776500988,1,36968.27868924946,0.00022222222222222223,93841.29353090716,0.00022222222222222223,59322.84707234064
2424,59,36615.712271969984,59,36615.72017048746,0.013621232523181178,36699.523498068855,0.013258258091462395,,0.013258258092337348,91449.67596031635,0.002857142857142857,91548.48055161943,1,36970.446319307266,0.00022222222222222223,93844.63578269837,0.00022222222222222223,59324.95991503953
2423,61,36616.46318615821,59,36616.47122567804,0.013775875884144528,36700.28213483266,0.013401936832403347,,0.013401936833592152,91450.43470036943,0.0028735632183908046,91549.49909472857,1,36972.612905729984,0.00022222222222222223,93847.97568228387,0.00022222222222222223,59327.07127076463
2422,61,36617.20962934392,59,36617.21824073653,0.01392939197910008,36701.03626986065,0.013551006294348683,,0.013551006294348683,91451.18893247508,0.002890173410404624,91550.51339174925,1,36974.77844952209,0.00022222222222222223,93851.31323223143,0.00022222222222222223,59329.181141139255
2421,61,36617.951855078725,59,36617.96101112963,0.014086753889321875,36701.78590355114,0.013699934403738364,,0.013699934403738364,91451.9386707166,0.0029069767441860465,91551.52344003817,1,36976.942951686586,0.00022222222222222223,93854.64843510528,0.00022222222222222223,59331.28952778437
2420,63,36618.68962815091,61,36618.69821962118,0.014246776531656392,36702.53103627634,0.013851152545080826,,0.013851152545080826,91452.68391014748,0.0029239766081871343,91552.529236896,1,36979.10641322505,0.00022222222222222223,93857.98129346549,0.00022222222222222223,59333.396432318375
2419,63,36619.422991742256,61,36619.43194113146,0.014409517620403522,36703.27166840025,0.01400357797020769,,0.01400357797020769,91453.42465426738,0.0029411764705882353,91553.53077956635,1,36981.268835137584,0.00022222222222222223,93861.31180986857,0.00022222222222222223,59335.50185635736
2418,63,36620.152157483375,63,36620.16069308606,0.014574197158859948,36704.00780027546,0.014160475587059271,,0.014160475587059271,91454.16089544624,0.0029585798816568047,91554.52806523527,1,36983.43021842289,0.00022222222222222223,93864.63998686695,0.00022222222222222223,59337.60580151496
2417,65,36620.87675009528,63,36620.885490843604,0.014743521014055771,36704.73943223468,0.014319822494345087,,0.014319822494345087,91454.89263885494,0.002976190476190476,91555.5210910298,1,36985.59056407819,0.00022222222222222223,93867.96582700942,0.00022222222222222223,59339.708269402334
2416,65,36621.59704306977,63,36621.606487094534,0.014914462256667631,36705.4665646069,0.014481720111498333,,0.014481720111498333,91455.61988479503,0.0029940119760479044,91556.50985401771,1,36987.7498730993,0.00022222222222222223,93871.28933284075,0.00022222222222222223,59341.80926162823
2415,67,36622.31304054044,65,36622.321847463514,0.01508863852825135,36706.189197701664,0.014646260049892855,,0.014646260049892855,91456.34263357191,0.0030120481927710845,91557.49435120632,1,36989.90814648059,0.00022222222222222223,93874.61050690206,0.00022222222222222223,59343.908779799065
2414,67,36623.02451590556,65,36623.03377219362,0.015265921225740397,36706.90733181603,0.014813526577356056,,0.014813526577356056,91457.06088549213,0.0030303030303030303,91558.47457954127,1,36992.065385215006,0.00022222222222222223,93877.92935173062,0.00022222222222222223,59346.00682551875
2413,67,36623.73177827229,65,36623.74162410262,0.015446404146157673,36707.620967233226,0.014983598684192682,,0.014983598684192682,91457.77464086053,0.003048780487804878,91559.45053590619,1,36994.221590294066,0.00022222222222222223,93881.24586985986,0.00022222222222222223,59348.103400388834
