,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
3065,1,23287.987383077692,1,23287.987383077692,8.16326530612245e-08,23291.190385399397,5.9608609865491405e-06,,0.00038336499264355863,61525.38544480504,0.00038387574509992674,61525.554459159845,0.00037993920972644377,61525.44568393502,1,23287.987383077692,0.00028571428571428574,61663.07896035745,0.00028571428571428574,38981.740971508574,0.00014285714285714287,29875.60039645061,0.00028571428571428574,38981.740971508574,0.00014285714285714287,29875.60039645061,0.00028571428571428574,38981.740971508574,0.00014285714285714287,29875.60039645061
3064,1,23296.014906013464,1,23296.014906013464,8.16326530612245e-08,23299.218769449755,5.9608609865491405e-06,,0.00038367691655935327,61543.05891595909,0.00038387574509992674,61543.22793142894,0.00038022813688212925,61543.119765181174,1,23296.014906013464,0.00028571428571428574,61681.37091229415,0.00028571428571428574,38993.30465182232,0.00014285714285714287,29885.25754868811,0.00028571428571428574,38993.30465182232,0.00014285714285714287,29885.25754868811,0.00028571428571428574,38993.30465182232,0.00014285714285714287,29885.25754868811
3063,1,23304.02405933154,1,23304.02405933154,8.16326530612245e-08,23307.22878125795,5.9608609865491405e-06,,0.00038398940768093713,61560.68222928744,0.00038387574509992674,61560.85124532274,0.000380517503805175,61560.7436937694,1,23304.02405933154,0.00028571428571428574,61699.61402966644,0.00028571428571428574,39004.837460237184,0.00014285714285714287,29894.890979645166,0.00028571428571428574,39004.837460237184,0.00014285714285714287,29894.890979645166,0.00028571428571428574,39004.837460237184,0.00014285714285714287,29894.890979645166
3062,1,23312.01492691144,1,23312.01492691144,8.16326530612245e-08,23315.220504715497,5.9608609865491405e-06,,0.00038430246754669943,61578.25561253344,0.00038387574509992674,61578.42463847016,0.0003808073115003808,61578.317697478575,1,23312.01492691144,0.00028571428571428574,61717.80853990631,0.00028571428571428574,39016.33954052953,0.00014285714285714287,29904.50079812727,0.00028571428571428574,39016.33954052953,0.00014285714285714287,29904.50079812727,0.00028571428571428574,39016.33954052953,0.00014285714285714287,29904.50079812727
3061,1,23319.987592059497,1,23319.987592059497,8.16326530612245e-08,23323.194023140622,5.9608609865491405e-06,,0.0003846160977005281,61595.779291881365,0.00038387574509992674,61595.94834686627,0.00038109756097560977,61595.84200252883,1,23319.987592059497,0.00028571428571428574,61735.95466888781,0.00028571428571428574,39027.811035490864,0.00014285714285714287,29914.087112196175,0.00028571428571428574,39027.811035490864,0.00014285714285714287,29914.087112196175,0.00028571428571428574,39027.811035490864,0.00014285714285714287,29914.087112196175
3060,1,23327.942137514034,1,23327.942137514034,8.16326530612245e-08,23331.149419283476,5.9608609865491405e-06,,0.00038493029968848856,61613.253491970696,0.00038387574509992674,61613.42260488728,0.00038138825324180017,61613.316833595585,1,23327.942137514034,0.00028571428571428574,61754.05264094133,0.00028571428571428574,39039.252086936816,0.00014285714285714287,29923.650029176653,0.00028571428571428574,39039.252086936816,0.00014285714285714287,29923.650029176653,0.00028571428571428574,39039.252086936816,0.00014285714285714287,29923.650029176653
3059,1,23335.87864545053,1,23335.87864545053,8.16326530612245e-08,23339.086775331274,5.9608609865491405e-06,,0.00038524507505986066,61630.67843591004,0.00038387574509992674,61630.847645305046,0.0003816793893129771,61630.74241382371,1,23335.87864545053,0.00028571428571428574,61772.102678867486,0.00028571428571428574,39050.66283571593,0.00014285714285714287,29933.1896556632,0.00028571428571428574,39050.66283571593,0.00014285714285714287,29933.1896556632,0.00028571428571428574,39050.66283571593,0.00014285714285714287,29933.1896556632
3058,1,23343.797197486725,1,23343.797197486725,8.16326530612245e-08,23347.00617291341,5.9608609865491405e-06,,0.0003855604253673873,61648.05434529105,0.00038387574509992674,61648.22369930182,0.0003819709702062643,61648.11896484123,1,23343.797197486725,0.00028571428571428574,61790.10500395106,0.00028571428571428574,39062.04342171853,0.00014285714285714287,29942.706097526618,0.00028571428571428574,39062.04342171853,0.00014285714285714287,29942.706097526618,0.00028571428571428574,39062.04342171853,0.00014285714285714287,29942.706097526618
3057,1,23351.69787468762,1,23351.69787468762,8.16326530612245e-08,23354.907693106474,5.9608609865491405e-06,,0.000385876352166818,61665.38144020206,0.00038387574509992674,61665.55099648448,0.00038226299694189603,61665.44670677306,1,23351.69787468762,0.00028571428571428574,61808.059835974615,0.00028571428571428574,39073.393983885224,0.00014285714285714287,29952.199459920572,0.00028571428571428574,39073.393983885224,0.00014285714285714287,29952.199459920572,0.00028571428571428574,39073.393983885224,0.00014285714285714287,29952.199459920572
3056,1,23359.580757570493,1,23359.580757570493,8.16326530612245e-08,23362.791416439253,5.9608609865491405e-06,,0.0003861928570178682,61682.65993924161,0.0003872090841270575,61682.82953324695,0.00038255547054322876,61682.72585825461,1,23359.580757570493,0.00028571428571428574,61825.96739323216,0.00028571428571428574,39084.71466021559,0.00014285714285714287,29961.66984728804,0.00028571428571428574,39084.71466021559,0.00014285714285714287,29961.66984728804,0.00028571428571428574,39084.71466021559,0.00014285714285714287,29961.66984728804
