,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
84,500,2507.9865172920713,500,2507.9865172920713,0.9999940391390134,2505.3251332910077,1.0,2511.4766652087465,1.0,6477.045060680945,1.0,6477.049370527476,1.0,6477.09131231734,1,3304.5511833496053,0.002,7840.578666023209,0.002,4959.07776166672,0.002249585665715169,7761.638834533616,1.0,3190.028912158349,1.0,4119.036945803638,0.9999940391390134,3181.964519640857,0.9999940391390134,4106.146394388902,0.001,4013.020889558031
83,500,2502.0341363396915,500,2502.0341363396915,0.9999940391390134,2499.3809165439834,1.0,2505.518392883352,1.0,6465.038945937114,1.0,6465.0432308398285,1.0,6465.083001205361,1,3305.750224116991,0.002,7841.91914383905,0.002,4959.925598798351,0.002249585665715169,7762.8407296296455,1.0,3183.0460225206693,1.0,4110.9321011181655,0.9999940391390134,3174.999349875852,0.9999940391390134,4098.066253993044,0.001,4014.030519946655
82,500,2496.01003995415,500,2496.01003995415,0.9999940391390134,2493.3650610629475,1.0,2499.4882981639657,1.0,6452.835794089046,1.0,6452.8400549258695,1.0,6452.877750568894,1,3306.946396365795,0.002,7843.254460380882,0.002,4960.770171482264,0.002249585665715169,7764.0378478229895,1.0,3175.970817781298,1.0,4102.70838133142,0.9999940391390134,3167.942105637382,0.9999940391390134,4089.867618812694,0.001,4015.0368786182826
81,500,2489.912478978542,500,2489.912478978542,0.9999940391390134,2487.275819622773,1.0,2493.384629284448,1.0,6440.430866146563,1.0,6440.435097474625,1.0,6440.470817543193,1,3308.1397137882286,0.002,7844.584646481907,0.002,4961.611499220108,0.002249585665715169,7765.230218525269,1.0,3168.8010290050565,1.0,4094.362793159052,0.9999940391390134,3160.790523992705,0.9999940391390134,4081.5475053265277,0.001,4016.0399827045458
80,500,2483.73963947237,500,2483.73963947237,0.9999940391390134,2481.1113802885625,1.0,2487.2055695984286,1.0,6427.819246499587,1.0,6427.82344836145,1.0,6427.85728278203,1,3309.3301899787043,0.002,7845.909732731607,0.002,4962.449601359383,0.002249585665715169,7766.4178709106645,1.0,3161.534303174843,1.0,4085.8922319144617,0.9999940391390134,3153.5422581525672,0.9999940391390134,4073.1028189788817,0.001,4017.0398492114314
79,500,2477.4896394723714,500,2477.4896394723714,0.9999940391390134,2474.869863180266,1.0,2480.9492343353,1.0,6414.995834112119,1.0,6415.000005896332,1.0,6415.032041646894,1,3310.5178384347614,0.002,7847.229749478158,0.002,4963.284497094976,0.002249585665715169,7767.6008339183245,1.0,3154.1681989873673,1.0,4077.293475934773,0.9999940391390134,3146.1948732783558,0.9999940391390134,4064.530348624338,0.001,4018.036495020496
78,500,2471.1605255483223,500,2471.1605255483223,0.9999940391390134,2468.549317032552,1.0,2474.6136671508884,1.0,6401.955333158082,1.0,6401.95948081024,1.0,6401.9897948383605,1,3311.702672557984,0.002,7848.544726830841,0.002,4964.116205470668,0.002249585665715169,7768.7791362547505,1.0,3146.700182382803,1.0,4068.5631806539836,0.9999940391390134,3138.7458420239022,0.9999940391390134,4055.8267606206787,0.001,4019.02993689005
77,500,2464.750269138067,500,2464.750269138067,0.9999940391390134,2462.1477155341454,1.0,2468.196836457011,1.0,6388.69224305629,1.0,6388.696366577017,1.0,6388.72503842661,1,3312.8847056549102,0.002,7849.854694662423,0.002,4964.944745380642,0.002249585665715169,7769.952806396101,1.0,3139.127621787869,1.0,4059.6978722961526,0.9999940391390134,3131.192539791503,0.9999940391390134,4046.9885925431486,0.001,4020.020191456329
76,500,2458.2567626445616,500,2458.2567626445616,0.9999940391390134,2455.662953429489,1.0,2461.6966315126997,1.0,6375.200847857604,1.0,6375.204946411912,1.0,6375.232053234367,1,3314.063950937929,0.002,7851.159682611473,0.002,4965.770135570964,0.002249585665715169,7771.1218725905355,1.0,3131.4477830500273,1.0,4050.693941159023,0.9999940391390134,3123.532239679906,0.9999940391390134,4038.012246490549,0.001,4021.0072752346596
75,500,2451.6778152761417,500,2451.6778152761417,0.9999940391390134,2449.092842363922,1.0,2455.110858258264,1.0,6361.475204933242,1.0,6361.479285733017,1.0,6361.504893521119,1,3315.240421526164,0.002,7852.45972008469,0.002,4966.592394641038,0.002249585665715169,7772.286362860474,1.0,3123.6578240383897,1.0,4041.5476344557305,0.9999940391390134,3115.762107099937,0.9999940391390134,4028.893981950903,0.001,4021.9912046206055
74,500,2445.011148609476,500,2445.011148609476,0.9999940391390134,2442.435106451904,1.0,2448.437234871626,1.0,6347.509132908325,1.0,6347.513188581637,1.0,6347.537374912684,1,3316.414130446352,0.002,7853.754836259186,0.002,4967.4115410450595,0.002249585665715169,7773.446305004876,1.0,3115.7547888847066,1.0,4032.255048679269,0.9999940391390134,3107.8791940311776,0.9999940391390134,4019.6299081915085,0.001,4022.9719958910923
73,500,2438.2543918527203,500,2438.2543918527203,0.9999940391390134,2435.6873775457893,1.0,2441.6733870244066,1.0,6333.296198779467,1.0,6333.300225041917,1.0,6333.323061514996,1,3317.5850906337055,0.002,7855.045060084734,0.002,4968.227593093432,0.002249585665715169,7774.601726601437,1.0,3107.7356018352166,1.0,4022.8121214509883,0.9999940391390134,3099.8804328905985,0.9999940391390134,4010.215976134747,0.001,4023.9496652055363
