,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
577,2500,17340.8105805757,2500,17340.8105805757,1.0,17344.048327204637,1.0,,1.0,44750.479309741204,1.0,44750.55958022974,1.0,44751.33716412009,1,20347.79349588197,0.0004,49881.194026977944,0.0004,31534.598908320895,0.00043828694102689825,49588.03858088187,1.0,22060.13111029352,1.0,28498.166348280978,1.0,22060.13111029352,1.0,28498.166348280978,0.0002,25108.687200710414
576,2500,17336.47782494312,2500,17336.47782494312,1.0,17339.715105027622,1.0,,1.0,44742.958852488584,1.0,44743.03911614274,1.0,44743.80882379044,1,20349.092872181347,0.0004,49882.720452469955,0.0004,31535.563905582752,0.00043828694102689825,49589.44569646273,1.0,22055.227640341567,1.0,28492.71672613198,1.0,22055.227640341567,1.0,28492.71672613198,0.0002,25109.812354541187
575,2500,17332.137547165337,2500,17332.137547165337,1.0,17335.374359200847,1.0,,1.0,44735.41739117456,1.0,44735.49764617889,1.0,44736.25954401314,1,20350.391573480047,0.0004,49884.24561393285,0.0004,31536.52810373281,0.00043828694102689825,49590.851616121,1.0,22050.314554829594,1.0,28487.254980202262,1.0,22050.314554829594,1.0,28487.254980202262,0.0002,25110.936726938435
574,2500,17327.789721078385,2500,17327.789721078385,1.0,17331.02606355509,1.0,,1.0,44727.854856140075,1.0,44727.935101700314,1.0,44728.68925464805,1,20351.68960047901,0.0004,49885.769512984865,0.0004,31537.491503794095,0.00043828694102689825,49592.256341423126,1.0,22045.391819859095,1.0,28481.78106609235,1.0,22045.391819859095,1.0,28481.78106609235,0.0002,25112.060318784315
573,2500,17323.434320381522,2500,17323.434320381522,1.0,17326.67019178436,1.0,,1.0,44720.27117734827,1.0,44720.35140198191,1.0,44721.097885180665,1,20352.986953878077,0.0004,49887.29215124162,0.0004,31538.454106787984,0.00043828694102689825,49593.659873932775,1.0,22040.45940135418,1.0,28476.29493916825,1.0,22040.45940135418,1.0,28476.29493916825,0.0002,25113.18313095959
572,2500,17319.071318636325,2500,17319.071318636325,1.0,17322.306717444953,1.0,,1.0,44712.66628438189,1.0,44712.74650855825,1.0,44713.48536471938,1,20354.283634376003,0.0004,49888.813530315856,0.0004,31539.415913734054,0.00043828694102689825,49595.06221521096,1.0,22035.51726506029,1.0,28470.7965545599,1.0,22035.51726506029,1.0,28470.7965545599,0.0002,25114.305164343656
571,2500,17314.700689265694,2500,17314.700689265694,1.0,17317.935613954443,1.0,,1.0,44705.04010644078,1.0,44705.12032623578,1.0,44705.851621993046,1,20355.579642670455,0.0004,49890.33365181763,0.0004,31540.376925650187,0.00043828694102689825,49596.463366815966,1.0,22030.565376542978,1.0,28465.28586715949,1.0,22030.565376542978,1.0,28465.28586715949,0.0002,25115.426419814452
570,2500,17310.32240555291,2500,17310.32240555291,1.0,17313.556854590774,1.0,,1.0,44697.39257233924,1.0,44697.47278939202,1.0,44698.19658534819,1,20356.874979458018,0.0004,49891.85251735422,0.0004,31541.337143552482,0.00043828694102689825,49597.86333030342,1.0,22025.60370118666,1.0,28459.76283161977,1.0,22025.60370118666,1.0,28459.76283161977,0.0002,25116.546898248565
569,2500,17305.93644064063,2500,17305.93644064063,1.0,17309.17041249122,1.0,,1.0,44689.72361050331,1.0,44689.803823549155,1.0,44690.52018274648,1,20358.169645434195,0.0004,49893.37012853024,0.0004,31542.29656845535,0.00043828694102689825,49599.26210722621,1.0,22020.632204193284,1.0,28454.227402352364,1.0,22020.632204193284,1.0,28454.227402352364,0.0002,25117.666600521174
568,2500,17301.54276752991,2500,17301.54276752991,1.0,17304.77626065145,1.0,,1.0,44682.033148968265,1.0,44682.113359077484,1.0,44682.822341761945,1,20359.463641293405,0.0004,49894.886486947486,0.0004,31543.25520137146,0.00043828694102689825,49600.65969913456,1.0,22015.650850581118,1.0,28448.67953352611,1.0,22015.650850581118,1.0,28448.67953352611,0.0002,25118.78552750609
567,2500,17297.141359079207,2500,17297.141359079207,1.0,17300.37437192448,1.0,,1.0,44674.32111537585,1.0,44674.401323450555,1.0,44675.10298957835,1,20360.756967728998,0.0004,49896.401594205076,0.0004,31544.213043311756,0.00043828694102689825,49602.056107576034,1.0,22010.65960518343,1.0,28443.119179065296,1.0,22010.65960518343,1.0,28443.119179065296,0.0002,25119.90368007568
566,2500,17292.73218800337,2500,17292.73218800337,1.0,17295.964719019707,1.0,,1.0,44666.58743697156,1.0,44666.66764374718,1.0,44667.36205298642,1,20362.04962543324,0.0004,49897.91545189941,0.0004,31545.170095285477,0.00043828694102689825,49603.45133409552,1.0,22005.658432647142,1.0,28437.546292648,1.0,22005.658432647142,1.0,28437.546292648,0.0002,25121.021059100996
565,2500,17288.31522687263,2500,17288.31522687263,1.0,17291.547274501874,1.0,,1.0,44658.832040601905,1.0,44658.91224664908,1.0,44659.5994583811,1,20363.34161509732,0.0004,49899.428061624174,0.0004,31546.126358300116,0.00043828694102689825,49604.84538023526,1.0,22000.647297431584,1.0,28431.96082770427,1.0,22000.647297431584,1.0,28431.96082770427,0.0002,25122.13766545167
564,2500,17283.89044811157,2500,17283.89044811157,1.0,17287.12201079005,1.0,,1.0,44651.05485271174,1.0,44651.13505843825,1.0,44651.815131758834,1,20364.63293741137,0.0004,49900.9394249703,0.0004,31547.081833361506,0.00043828694102689825,49606.23824753476,1.0,21995.626163807123,1.0,28426.362737414413,1.0,21995.626163807123,1.0,28426.362737414413,0.0002,25123.25349999594
563,2500,17279.457823998095,2500,17279.457823998095,1.0,17282.688900156594,1.0,,1.0,44643.25579934139,1.0,44643.33600499454,1.0,44644.00899871468,1,20365.92359306444,0.0004,49902.4495435261,0.0004,31548.03652147373,0.00043828694102689825,49607.629937530946,1.0,21990.594995853833,1.0,28420.751974707237,1.0,21990.594995853833,1.0,28420.751974707237,0.0002,25124.36856360071
562,2500,17275.017326662393,2500,17275.017326662393,1.0,17278.247914726115,1.0,,1.0,44635.43480612388,1.0,44635.51501179305,1.0,44636.180984439474,1,20367.213582744524,0.0004,49903.958418877155,0.0004,31548.990423639185,0.00043828694102689825,49609.02045175809,1.0,21985.553757460126,1.0,28415.128492258184,1.0,21985.553757460126,1.0,28415.128492258184,0.0002,25125.48285713151
561,2500,17270.568928085882,2500,17270.568928085882,1.0,17273.79902647443,1.0,,1.0,44627.59179828212,1.0,44627.6720039016,1.0,44628.3310137171,1,20368.502907138543,0.0004,49905.466052606345,0.0004,31549.943540858563,0.00043828694102689825,49610.4097917478,1.0,21980.502412321413,1.0,28409.492242487595,1.0,21980.502412321413,1.0,28409.492242487595,0.0002,25126.59638145245
560,2500,17266.112600100147,2500,17266.112600100147,1.0,17269.342207227484,1.0,,1.0,44619.726700626015,1.0,44619.80690597807,1.0,44620.45901092149,1,20369.79156693236,0.0004,49906.97244629387,0.0004,31550.895874130867,0.00043828694102689825,49611.797959029034,1.0,21975.440923938702,1.0,28403.843177558858,1.0,21975.440923938702,1.0,28403.843177558858,0.0002,25127.709137426322
559,2500,17261.64831438586,2500,17261.64831438586,1.0,17264.877428660304,1.0,,1.0,44611.83943754964,1.0,44611.919642267916,1.0,44612.564900013815,1,20371.07956281077,0.0004,49908.477601517276,0.0004,31551.847424453394,0.00043828694102689825,49613.18495512818,1.0,21970.369255617265,1.0,28398.181249376583,1.0,21970.369255617265,1.0,28398.181249376583,0.0002,25128.821125914532
558,2500,17257.17604247173,2500,17257.17604247173,1.0,17260.404662295885,1.0,,1.0,44603.92993302829,1.0,44604.01013660152,1.0,44604.64860453948,1,20372.366895457526,0.0004,49909.98151985141,0.0004,31552.79819282178,0.00043828694102689825,49614.57078156892,1.0,21965.287370465143,1.0,28392.506409584745,1.0,21965.287370465143,1.0,28392.506409584745,0.0002,25129.932347777125
557,2500,17252.69575573338,2500,17252.69575573338,1.0,17255.92387950413,1.0,,1.0,44595.99811061552,1.0,44596.07831239143,1.0,44596.710047625194,1,20373.653565555313,0.0004,49911.48420286845,0.0004,31553.74818022993,0.00043828694102689825,49615.95543987239,1.0,21960.19523139182,1.0,28386.818609564772,1.0,21960.19523139182,1.0,28386.818609564772,0.0002,25131.042803872817
556,2500,17248.20742539227,2500,17248.20742539227,1.0,17251.435051500743,1.0,,1.0,44588.04389344028,1.0,44588.12409262975,1.0,44588.749151976066,1,20374.939573785763,0.0004,49912.985652137984,0.0004,31554.69738767012,0.00043828694102689825,49617.338931557075,1.0,21955.092801106755,1.0,28381.117800433745,1.0,21955.092801106755,1.0,28381.117800433745,0.0002,25132.152495058912
555,2500,17243.711022514573,2500,17243.711022514573,1.0,17246.93814934611,1.0,,1.0,44580.06720420378,1.0,44580.147399885456,1.0,44580.76583987243,1,20376.224920829463,0.0004,49914.48586922683,0.0004,31555.645816132896,0.00043828694102689825,49618.72125813882,1.0,21949.980042117946,1.0,28375.403933042377,1.0,21949.980042117946,1.0,28375.403933042377,0.0002,25133.2614221914
554,2500,17239.206518010073,2500,17239.206518010073,1.0,17242.433143944192,1.0,,1.0,44572.06796517663,1.0,44572.14815630169,1.0,44572.76003316695,1,20377.509607365948,0.0004,49915.98485569922,0.0004,31556.593466607166,0.00043828694102689825,49620.10242113095,1.0,21944.856916730485,1.0,28369.676957973206,1.0,21944.856916730485,1.0,28369.676957973206,0.0002,25134.36958612492
553,2500,17234.693882631014,2500,17234.693882631014,1.0,17237.920006041386,1.0,,1.0,44564.04609819574,1.0,44564.12628359287,1.0,44564.73165328159,1,20378.7936340737,0.0004,49917.4826131168,0.0004,31557.54034008015,0.00043828694102689825,49621.48242204414,1.0,21939.723387045084,1.0,28363.93682553856,1.0,21939.723387045084,1.0,28363.93682553856,0.0002,25135.476987712766
552,2500,17230.17308697098,2500,17230.17308697098,1.0,17233.398706225395,1.0,,1.0,44556.001524661166,1.0,44556.0817030421,1.0,44556.68062120428,1,20380.07700163017,0.0004,49918.97914303847,0.0004,31558.486437537435,0.00043828694102689825,49622.86126238644,1.0,21934.57941495661,1.0,28358.18348577868,1.0,21934.57941495661,1.0,28358.18348577868,0.0002,25136.58362780686
551,2500,17225.644101463735,2500,17225.644101463735,1.0,17228.869214924067,1.0,,1.0,44547.93416553317,1.0,44548.014335498156,1.0,44548.60685748614,1,20381.35971071175,0.0004,49920.47444702056,0.0004,31559.43175996286,0.00043828694102689825,49624.23894366345,1.0,21929.424962152585,1.0,28352.416888459644,1.0,21929.424962152585,1.0,28352.416888459644,0.0002,25137.6895072578
550,2500,17221.106896382065,2500,17221.106896382065,1.0,17224.331502404242,1.0,,1.0,44539.843941328894,1.0,44539.92410137287,1.0,44540.510282238065,1,20382.6417619938,0.0004,49921.96852661674,0.0004,31560.376308338702,0.00043828694102689825,49625.615467378004,1.0,21924.259990111666,1.0,28346.63698307148,1.0,21924.259990111666,1.0,28346.63698307148,0.0002,25138.794626914863
549,2500,17216.561441836613,2500,17216.561441836613,1.0,17219.785538770582,1.0,,1.0,44531.73077211946,1.0,44531.81092063806,1.0,44532.390815127656,1,20383.923156150642,0.0004,49923.461383378126,0.0004,31561.320083645536,0.00043828694102689825,49626.99083503049,1.0,21919.08446010217,1.0,28340.84371882609,1.0,21919.08446010217,1.0,28340.84371882609,0.0002,25139.898987625955
548,2500,17212.007707774686,2500,17212.007707774686,1.0,17215.231293964385,1.0,,1.0,44523.5945775265,1.0,44523.67471282275,1.0,44524.24837537602,1,20385.20389385556,0.0004,49924.95301885316,0.0004,31562.263086862265,0.00043828694102689825,49628.36504811869,1.0,21913.898333180485,1.0,28335.037044655262,1.0,21913.898333180485,1.0,28335.037044655262,0.0002,25141.002590237684
547,2500,17207.445663979066,2500,17207.445663979066,1.0,17210.668737762393,1.0,,1.0,44515.435276719196,1.0,44515.515397010175,1.0,44516.082881754526,1,20386.4839757808,0.0004,49926.443434587636,0.0004,31563.205318966175,0.00043828694102689825,49629.73810813782,1.0,21908.701570189573,1.0,28329.216909208553,1.0,21908.701570189573,1.0,28329.216909208553,0.0002,25142.105435595295
546,2500,17202.87528006682,2500,17202.87528006682,1.0,17206.09783977559,1.0,,1.0,44507.25278841084,1.0,44507.3328918345,1.0,44507.8942525815,1,20387.763402597586,0.0004,49927.93263212484,0.0004,31564.146780932882,0.00043828694102689825,49631.11001658056,1.0,21903.494131757358,1.0,28323.383260851293,1.0,21903.494131757358,1.0,28323.383260851293,0.0002,25143.20752454272
545,2500,17198.296525488066,2500,17198.296525488066,1.0,17201.518569447984,1.0,,1.0,44499.0470308557,1.0,44499.12711548301,1.0,44499.68240571902,1,20389.0421749761,0.0004,49929.42061300539,0.0004,31565.087473736407,0.00043828694102689825,49632.48077493701,1.0,21898.275978295198,1.0,28317.53604766249,1.0,21898.275978295198,1.0,28317.53604766249,0.0002,25144.30885792256
544,2500,17193.709369524764,2500,17193.709369524764,1.0,17196.93089605539,1.0,,1.0,44490.81792184563,1.0,44490.89798587307,1.0,44491.44725856949,1,20390.320293585508,0.0004,49930.907378767384,0.0004,31566.027398349073,0.00043828694102689825,49633.85038469475,1.0,21893.04706999628,1.0,28311.675217432672,1.0,21893.04706999628,1.0,28311.675217432672,0.0002,25145.409436576105
543,2500,17189.113781289474,2500,17189.113781289474,1.0,17192.33478870419,1.0,,1.0,44482.56537870673,1.0,44482.645416212246,1.0,44483.18872807236,1,20391.59775909394,0.0004,49932.392930946226,0.0004,31566.96655574157,0.00043828694102689825,49635.21884733877,1.0,21887.807366833993,1.0,28305.800717661827,1.0,21887.807366833993,1.0,28305.800717661827,0.0002,25146.509261343315
542,2500,17184.5097297241,2500,17184.5097297241,1.0,17187.730216330074,1.0,,1.0,44474.28931829607,1.0,44474.369349109365,1.0,44474.90673070072,1,20392.874572168505,0.0004,49933.87727107481,0.0004,31567.904946883,0.00043828694102689825,49636.586164351575,1.0,21882.55682856034,1.0,28299.91249555718,1.0,21882.55682856034,1.0,28299.91249555718,0.0002,25147.60833306285
541,2500,17179.89718359864,2500,17179.89718359864,1.0,17183.117147696797,1.0,,1.0,44465.9896569982,1.0,44466.06968205978,1.0,44466.60118245784,1,20394.150733475293,0.0004,49935.36040068349,0.0004,31568.842572740832,0.00043828694102689825,49637.95233721314,1.0,21877.2954147043,1.0,28294.01049803116,1.0,21877.2954147043,1.0,28294.01049803116,0.0002,25148.70665257202
540,2500,17175.27611150992,2500,17175.27611150992,1.0,17178.495551394903,1.0,,1.0,44457.66631072173,1.0,44457.74633003852,1.0,44458.2719988738,1,20395.426243679372,0.0004,49936.842321299955,0.0004,31569.779434280845,0.00043828694102689825,49639.31736740087,1.0,21872.02308457014,1.0,28288.09467169906,1.0,21872.02308457014,1.0,28288.09467169906,0.0002,25149.80422070686
