,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
1095,39,14636.941829737698,37,14636.955356362289,0.020100278409726717,14739.403164572994,0.019341739533996417,14679.493066062834,0.020100408078909,36226.784894453165,0.019341739534779964,,0.005208333333333333,36266.673734857606,1,14771.405986087173,0.0005,37246.55358403616,0.0005,23547.738540143644
1094,39,14637.85536798659,37,14637.87068220083,0.02050647180849319,14740.330875635163,0.019718244430829118,14680.42104788838,0.020506584028708735,36227.7126055153,0.019718244428097744,,0.005263157894736842,36267.85169655096,1,14773.613491605936,0.0005,37249.98559892911,0.0005,23549.908303023392
1093,41,14638.759407253076,39,14638.773317892685,0.02092519668284746,14741.248336445817,0.02010615880125585,14681.338786331618,0.02092512581097483,36228.63006632592,0.020106158590944122,,0.005319148936170213,36269.02020857986,1,14775.818563270766,0.0005,37253.41210199777,0.0005,23552.07458125867
1092,41,14639.653242703627,39,14639.668271270664,0.02135659961423111,14742.155549539017,0.020503378704054973,14682.246290836167,0.02135653019047834,36229.53727941911,0.020503378693291392,,0.005376344086021506,36270.179264844664,1,14778.021206442574,0.0005,37256.83310697885,0.0005,23554.23738353397
1091,41,14640.537740243173,41,14640.551911857956,0.021801364048097682,14743.052517307862,0.02091474799135535,14683.143553224658,0.021801318533069883,36230.43424718797,0.020914747989559317,,0.005434782608695652,36271.32885881399,1,14780.221426464579,0.0005,37260.24862756181,0.0005,23556.39671850398
1090,43,14641.411951914779,41,14641.42688863025,0.022258480502807616,14743.939242005197,0.02133771036745937,14684.030583104246,0.022260038244859528,36231.320971881854,0.021337710369111917,,0.005494505494505495,36272.46898351315,1,14782.41922866238,0.0005,37263.65867738915,0.0005,23558.55259479363
1089,43,14642.276653902554,41,14642.293531019688,0.022733679024718588,14744.815725724175,0.021772040992484025,14684.907385139046,0.022733264293105775,36232.19745560342,0.02177204099196353,,0.005555555555555556,36273.59963151142,1,14784.614618344047,0.0005,37267.06327005662,0.0005,23560.70502099834
1088,45,14643.131328355954,43,14643.147164860096,0.023221637070407117,14745.681970425976,0.022224265809716683,14685.773946092057,0.023221600842792636,36233.06370030536,0.022224265810184243,,0.0056179775280898875,36274.72079490927,1,14786.807600800188,0.0005,37270.46241911334,0.0005,23562.854005684032
1087,45,14643.97633487527,43,14643.993506310906,0.02372552894037757,14746.537977907916,0.02268469314365285,14686.630293421831,0.023725682996005176,36233.91970778725,0.0226846931367808,,0.005681818181818182,36275.83246532475,1,14788.998181304023,0.0005,37273.856138062154,0.0005,23564.99955738736
1086,47,14644.811335875682,45,14644.828018317558,0.024246195976169126,14747.38374981261,0.023162609754924773,14687.476408300694,0.02424617864725554,36234.76547969194,0.023162609754924773,,0.005747126436781609,36276.93463387921,1,14791.186365111464,0.0005,37277.244440359646,0.0005,23567.141684615774
1085,47,14645.636698941646,45,14645.654432211648,0.024783091431479946,14748.219287623439,0.023654832067008604,14688.31230129663,0.024783790470898813,36235.601017502195,0.023654832067008604,,0.005813953488372093,36278.027291182654,1,14793.37215746119,0.0005,37280.627339416504,0.0005,23569.280395847647
1084,49,14646.451950047578,47,14646.469515531739,0.02533929014357448,14749.044592657554,0.02416224583994646,14689.137973688607,0.025339258031891992,36236.42632253675,0.02416224583994646,,0.0058823529411764705,36279.11042731803,1,14795.555563574726,0.0005,37284.0048485977,0.0005,23571.415699532492
1083,51,14647.25748845339,47,14647.276223671843,0.025912581576657386,14749.859666068052,0.02468573080669051,14689.953426594506,0.025913360061323058,36237.241395946614,0.02468573080669051,,0.005952380952380952,36280.184031824945,1,14797.736588656513,0.0005,37287.37698122258,0.0005,23573.54760409096
1082,51,14648.053102706941,49,14648.07172431937,0.026508378929763918,14750.6645088339,0.025225917207536003,14690.758661630505,0.026506916861236997,36238.046238710805,0.025225917207536003,,0.006024096385542169,36281.24809368263,1,14799.915237893983,0.0005,37290.7437505652,0.0005,23575.6761179151
1081,53,14648.838755454226,49,14648.858863252544,0.02712147071779587,14751.45912175414,0.0257835456433322,14691.553680074328,0.027120792903296158,36238.84085163243,0.0257835456433322,,0.006097560975609756,36282.30260129198,1,14802.09151645764,0.0005,37294.105169854425,0.0005,23577.80124936835
1080,53,14649.614793293315,51,14649.634725060765,0.027755800151916196,14752.243505455279,0.026358195366762552,14692.338486213293,0.027755899588964895,36239.625235333835,0.026358195366762552,,0.006172839506172839,36283.34754245679,1,14804.26542950112,0.0005,37297.46125227421,0.0005,23579.923006785775
1079,55,14650.380581303474,53,14650.399666309466,0.028413088843910785,14753.017660374073,0.026954966183801336,14693.113070125428,0.02841319821524591,36240.39939025256,0.026954966183801336,,0.00625,36284.38290436386,1,14806.43698216127,0.0005,37300.81201096378,0.0005,23582.04139847415
1078,57,14651.136615893245,53,14651.157791244485,0.029094129222779656,14753.781586757968,0.02757059606968492,14693.87744217365,0.029093703131368043,36241.16331663634,0.02757059606968492,,0.006329113924050633,36285.408673562335,1,14808.606179558237,0.0005,37304.157459017755,0.0005,23584.156432712072
1077,59,14651.882897912601,55,14651.903549060844,0.02979893251299093,14754.53528465959,0.028206364837839407,14694.631602317239,0.02979848514521013,36241.91701453796,0.028206364837839407,,0.00641025641025641,36286.42483594178,1,14810.773026795508,0.0005,37307.4976094864,0.0005,23586.268117750074
1076,59,14652.618980268464,57,14652.639348104487,0.030528697330020282,14755.278753931963,0.028863608104017852,14695.37555016738,0.030528675141839913,36242.66048381037,0.028863608104017852,,0.006493506493506494,36287.43137670922,1,14812.93752896001,0.0005,37310.832475375864,0.0005,23588.376461810807
1075,61,14653.345183668927,57,14653.36755643887,0.0312855083078952,14756.011994223229,0.029543285092644575,14696.10928611413,0.0312854679680829,36243.39372410167,0.029543285092644575,,0.006578947368421052,36288.42828036479,1,14815.099691122172,0.0005,37314.16206964827,0.0005,23590.4814730891
1074,63,14654.061534937538,59,14654.083877886917,0.03207017626091433,14756.735004970637,0.03024640584576323,14696.832810370704,0.032070126612117146,36244.11673484905,0.03024640584576323,,0.006666666666666667,36289.41553067629,1,14817.259518335994,0.0005,37317.48640522203,0.0005,23592.583159752117
1073,65,14654.767967443644,61,14654.789957885094,0.03288403139516451,14757.447785395088,0.030974037611433632,14697.546122960326,0.03288398664961694,36244.82951527348,0.030974037611433632,,0.006756756756756757,36290.39311065224,1,14819.417015639123,0.0005,37320.80549497189,0.0005,23594.681529939433
1072,65,14655.464416428216,61,14655.488769901971,0.03372790153767434,14758.15033449569,0.0317273093630681,14698.249223707571,0.03372846102829504,36245.532064373874,0.0317273093630681,,0.00684931506849315,36291.36100251332,1,14821.572188052914,0.0005,37324.1193517293,0.0005,23596.776591763246
1071,67,14656.150809167155,63,14656.175520283068,0.03460345294482505,14758.842651044235,0.03250704864804393,14698.942113190076,0.03460504519150714,36246.224380921114,0.03250704865301648,,0.006944444444444444,36292.319187662346,1,14823.725040582518,0.0005,37327.42798828238,0.0005,23598.868353308397
1070,69,14656.8272453312,65,14656.851963275989,0.035516225384014666,14759.52473357395,0.03331446191220766,14699.624791104692,0.03551532255518695,36246.906463451625,0.03331446189458193,,0.007042253521126761,36293.2676466525,1,14825.875578216926,0.0005,37330.73141737639,0.0005,23600.956822632572
1069,71,14657.493711088955,67,14657.518801752696,0.03646162227980493,14760.196580383707,0.03415287471662226,14700.297251629912,0.036460970400327086,36247.578310261524,0.03415287471662226,,0.007142857142857143,36294.20635915358,1,14828.023805929064,0.0005,37334.02965171362,0.0005,23603.04200776634
1068,73,14658.15018725945,69,14658.175463344722,0.03744408583599152,14760.85818952198,0.035020335816226246,14700.959501911884,0.037443766158351405,36248.239919399944,0.035020335816226246,,0.007246376811594203,36295.13530391641,1,14830.169728675846,0.0005,37337.32270395379,0.0005,23605.123916713306
1067,75,14658.796667209517,71,14658.822370299771,0.03846432097134855,14761.509558785352,0.03592129796347586,14701.611533673225,0.0384655941724683,36248.89128866254,0.03592129796347586,,0.007352941176470588,36296.054458734965,1,14832.313351398247,0.0005,37340.61058671414,0.0005,23607.202557450277
1066,77,14659.433140760677,73,14659.459195846312,0.039529942111423404,14762.150685708248,0.03685670217916303,14702.253346691237,0.039528452900583204,36249.53241558514,0.03685670217916303,,0.007462686567164179,36296.96380040623,1,14834.454679021375,0.0005,37343.89331256964,0.0005,23609.27793792729
1065,79,14660.05960877192,75,14660.086179602573,0.04063544349721443,14762.781567559447,0.03782769072803798,14702.884940444234,0.04063446269229809,36250.163297436724,0.03782769072803798,,0.007575757575757576,36297.86330468763,1,14836.59371645453,0.0005,37347.170894053175,0.0005,23611.350066067793
