;RLS;;;;;;(1+1)EA;;;
;Expected time optimal;k^*;Expected Time « optimal »;« k^* »;Expected Time static;static K;Expected Time Optimal;p^*;Expected time static p;good static p*
Expected General Time;;All;;All;;All;16253.231497351875;All;;All
845;5623.863119677742;1;5623.863119677742;1;5623.863119677742;1;14657.256316859479;0.0014694343792932294;;0.00104
844;5630.273376087999;1;5630.273376087999;1;5630.273376087999;1;14670.512272751826;0.0014741312772024661;;0.00104
843;5636.642802839591;1;5636.642802839591;1;5636.642802839591;1;14683.6562931395;0.0014788620364933893;;0.00104
842;5642.971916763642;1;5642.971916763642;1;5642.971916763642;1;14696.689778902246;0.0014836270458155507;;0.00104
841;5649.2612249397425;1;5649.2612249397425;1;5649.2612249397425;1;14709.614104359996;0.0014884266998900957;;0.00104
840;5655.5112249397425;1;5655.5112249397425;1;5655.5112249397425;1;14722.430617935453;0.0014932613996266563;;0.00104
839;5661.722405063965;1;5661.722405063965;1;5661.722405063965;1;14735.140642796085;0.0014981315522442427;;0.00104
838;5667.895244570139;1;5667.895244570139;1;5667.895244570139;1;14747.74547747621;0.001503037571397401;;0.00104
837;5674.030213895293;1;5674.030213895293;1;5674.030213895293;1;14760.246396480126;0.001507979877299067;;0.00104
836;5680.1277748709035;1;5680.1277748709035;1;5680.1277748709035;1;14772.64465086668;0.0015129588968531029;;0.00104
835;5686.1883809315095;1;5686.1883809315095;1;5686.1883809315095;1;14784.94146881618;0.0015179750637860513;;0.00104
834;5692.212477317052;1;5692.212477317052;1;5692.212477317052;1;14797.138056180218;0.0015230288187810014;;0.00104
833;5698.200501269148;1;5698.200501269148;1;5698.200501269148;1;14809.235597014975;0.0015281206096197707;;0.00104
832;5704.152882221529;1;5704.152882221529;1;5704.152882221529;1;14821.23525409866;0.0015332508913208746;;0.00104
831;5710.070041984842;1;5710.070041984842;1;5710.070041984842;1;14833.138169433569;0.001538420126289847;;0.00104
830;5715.952394926017;1;5715.952394926017;1;5715.952394926017;1;14844.945464733435;0.0015436287844609446;;0.00104
829;5721.800348142392;1;5721.800348142392;1;5721.800348142392;1;14856.65824189645;0.0015488773434600353;;0.00104
828;5727.614301630764;1;5727.614301630764;1;5727.614301630764;1;14868.27758346453;0.001554166288747708;;0.00104
827;5733.394648451574;1;5733.394648451574;1;5733.394648451574;1;14879.804553069267;0.0015594961137911185;;0.00104
826;5739.141774888355;1;5739.141774888355;1;5739.141774888355;1;14891.240195865086;0.0015648673202180562;;0.00104
825;5744.85606060264;1;5744.85606060264;1;5744.85606060264;1;14902.585538949957;0.0015702804179902345;;0.00104
824;5750.537878784459;1;5750.537878784459;1;5750.537878784459;1;14913.841591774166;0.0015757359255714268;;0.00104
823;5756.187596298583;1;5756.187596298583;1;5756.187596298583;1;14925.009346537472;0.0015812343701052198;;0.00104
822;5761.805573826673;1;5761.805573826673;1;5761.805573826673;1;14936.08977857515;0.0015867762875924707;;0.00104
821;5767.392166005444;1;5767.392166005444;1;5767.392166005444;1;14947.083846733178;0.0015923622230776147;;0.00104
820;5772.947721561;1;5772.947721561;1;5772.947721561;1;14957.992493732976;0.0015979927308357573;;0.00104
819;5778.472583439453;1;5778.472583439453;1;5778.472583439453;1;14968.816646526077;0.001603668374565612;;0.00104
818;5783.967088933958;1;5783.967088933958;1;5783.967088933958;1;14979.557216638987;0.0016093897275875973;;0.00104
817;5789.431569808275;1;5789.431569808275;1;5789.431569808275;1;14990.21510050867;0.0016151573730479923;;0.00104
816;5794.86635241697;1;5794.86635241697;1;5794.86635241697;1;15000.791179808788;0.0016209719041242912;;0.00104
815;5800.271757822375;1;5800.271757822375;1;5800.271757822375;1;15011.286321767198;0.0016268339242385096;;0.00104
814;5805.648101908395;1;5805.648101908395;1;5805.648101908395;1;15021.701379474815;0.0016327440472766388;;0.00104
813;5810.995695491283;1;5810.995695491283;1;5810.995695491283;1;15032.037192186239;0.001638702897808877;;0.00104
812;5816.314844427453;1;5816.314844427453;1;5816.314844427453;1;15042.294585612328;0.001644711111320831;;0.00104
811;5821.605849718458;1;5821.605849718458;1;5821.605849718458;1;15052.47437220503;0.0016507693464300655;;0.00104
810;5826.869007613195;1;5826.869007613195;1;5826.869007613195;1;15062.577351434684;0.0016568782391768158;;0.00104
809;5832.104609707436;1;5832.104609707436;1;5832.104609707436;1;15072.60431006002;0.0016630384695347725;;0.00104
808;5837.312943040769;1;5837.312943040769;1;5837.312943040769;1;15082.556022391112;0.0016692507190978858;;0.00104
807;5842.494290191028;1;5842.494290191028;1;5842.494290191028;1;15092.433250545491;0.001675515681612858;;0.00104
806;5847.648929366285;1;5847.648929366285;1;5847.648929366285;1;15102.236744697646;0.0016818340632466556;;0.00104
805;5852.77713449449;1;5852.77713449449;1;5852.77713449449;1;15111.967243322042;0.0016882065828566141;;0.00104
804;5857.879175310818;1;5857.879175310818;1;5857.879175310818;1;15121.625473429998;0.0016946339722736898;;0.00104
803;5862.955317442797;1;5862.955317442797;1;5862.955317442797;1;15131.212150800457;0.001701116976583113;;0.00104
802;5868.005822493302;1;5868.005822493302;1;5868.005822493302;1;15140.727980204912;0.00170765635442524;;0.00104
801;5873.030948121442;1;5873.030948121442;1;5873.030948121442;1;15150.17365562663;0.0017142528782934853;;0.00104
800;5878.030948121441;1;5878.030948121441;1;5878.030948121441;1;15159.549860474453;0.001720907334842365;;0.00104
799;5883.00607249955;1;5883.00607249955;1;5883.00607249955;1;15168.857267791162;0.00172762052520858;;0.00104
798;5887.956567549055;1;5887.956567549055;1;5887.956567549055;1;15178.096540456645;0.0017343932653335228;;0.00104
797;5892.882675923439;1;5892.882675923439;1;5892.882675923439;1;15187.26833138612;0.0017412263862984756;;0.00104
