,Expected Time,k^*
382,2676.065796337334,1
381,2680.2674770096023,1
380,2684.434143676268,1
379,2688.5663750812255,1
378,2692.664735736962,1
377,2696.729776387368,1
376,2700.762034451883,1
375,2704.7620344518823,1
374,2708.730288420136,1
373,2712.6672962941507,1
372,2716.5735462941498,1
371,2720.4495152863974,1
370,2724.2956691325503,1
369,2728.112463025679,1
368,2731.900341813557,1
367,2735.659740309797,1
366,2739.3910835933784,1
365,2743.0947872970814,1
364,2746.771257885316,1
363,2750.4208929218116,1
362,2754.044081327608,1
361,2757.641203629766,1
360,2761.212632201194,1
359,2764.7587314919733,1
358,2768.279858252536,1
357,2771.7763617490386,1
356,2775.24858397126,1
355,2778.696859833328,1
354,2782.1215173675737,1
353,2785.522877911791,1
352,2788.9012562901685,1
351,2792.2569609881543,1
350,2795.5902943214874,1
349,2798.901552599632,1
348,2802.1910262838414,1
347,2805.4590001400497,1
346,2808.7057533868024,1
345,2811.9315598384146,1
344,2815.136688043542,1
343,2818.3214014193377,1
342,2821.4859583813623,1
341,2824.6306124694115,1
340,2827.755612469411,1
339,2830.861202531522,1
338,2833.947622284608,1
337,2837.015106947184,1
336,2840.063887434989,1
335,2843.0941904652914,1
334,2846.106238658062,1
333,2849.100250634109,1
332,2852.0534970795024,3
331,2854.969941740215,3
330,2857.8530802130435,3
329,2860.702622303727,3
328,2863.5188653784244,3
327,2866.3025570347368,3
326,2869.054276306115,3
325,2871.774543309901,3
324,2874.463895635159,3
323,2877.1228612637005,3
322,2879.7519514956557,3
321,2882.3516665403217,3
320,2884.9224961817085,3
319,2887.46491922296,3
318,2889.9794038605182,3
317,2892.4664080947796,3
316,2894.9263799771165,3
315,2897.3481634214927,5
314,2899.7310290822584,5
313,2902.079024077304,5
312,2904.3927489355247,5
311,2906.6724760901448,5
310,2908.91899088491,5
309,2911.1329675432294,5
308,2913.3150530520084,5
307,2915.465898348854,5
306,2917.586123338694,5
305,2919.664889870667,7
304,2921.7054212436724,7
303,2923.711585522561,7
302,2925.683213845855,7
301,2927.62103337074,7
300,2929.5259063251137,7
299,2931.3945848677627,9
298,2933.222340755374,9
297,2935.0138487605495,9
296,2936.771219121225,9
295,2938.494467437478,9
294,2940.1786632315466,11
293,2941.823432412902,11
