,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,18.216064453124993,All
2243,#100011000011,28.89805554825122,6
2242,#100011000010,28.20363636363634,9
2241,#100011000001,28.20363636363634,9
2240,#100011000000,26.181818181818155,10
2239,#100010111111,24.999999999999975,1
2238,#100010111110,27.399999999999974,1
2237,#100010111101,27.399999999999974,1
2236,#100010111100,28.74290918326451,5
2235,#100010111011,27.399999999999974,1
2234,#100010111010,28.742743810108422,5
2233,#100010111001,28.742743810108422,5
2232,#100010111000,28.891533644288266,6
2231,#100010110111,27.399999999999974,1
2230,#100010110110,28.742352158776207,5
2229,#100010110101,28.742352158776207,5
2228,#100010110100,28.891840244070636,6
2227,#100010110011,28.742231710058984,5
2226,#100010110010,28.89192300014827,6
2225,#100010110001,28.89192300014827,6
2224,#100010110000,28.203636363636342,9
2223,#100010101111,27.399999999999974,1
2222,#100010101110,28.742076944399873,5
2221,#100010101101,28.742076944399873,5
2220,#100010101100,28.892154088700966,6
2219,#100010101011,28.74195856336628,5
2218,#100010101010,28.89223323664767,6
2217,#100010101001,28.89223323664767,6
2216,#100010101000,28.203636363636342,9
2215,#100010100111,28.74158045067386,5
2214,#100010100110,28.892375622876113,6
2213,#100010100101,28.892375622876113,6
2212,#100010100100,28.203636363636342,9
2211,#100010100011,28.89237495091965,6
2210,#100010100010,28.203636363636342,9
2209,#100010100001,28.203636363636342,9
2208,#100010100000,26.181818181818155,10
2207,#100010011111,27.399999999999974,1
2206,#100010011110,28.7360059076205,5
2205,#100010011101,28.7360059076205,5
2204,#100010011100,28.892495071491062,6
2203,#100010011011,28.7358906527778,5
2202,#100010011010,28.89256998007901,6
2201,#100010011001,28.89256998007901,6
2200,#100010011000,28.203636363636342,9
2199,#100010010111,28.735520948595024,5
2198,#100010010110,28.892696405826452,6
2197,#100010010101,28.892696405826452,6
2196,#100010010100,28.203636363636342,9
2195,#100010010011,28.892691540809025,6
2194,#100010010010,28.203636363636342,9
2193,#100010010001,28.203636363636342,9
2192,#100010010000,26.181818181818155,10
2191,#100010001111,28.728891144278304,5
2190,#100010001110,28.892657788134404,6
2189,#100010001101,28.892657788134404,6
2188,#100010001100,28.203636363636342,9
2187,#100010001011,28.892649340076968,6
2186,#100010001010,28.203636363636342,9
2185,#100010001001,28.203636363636342,9
2184,#100010001000,26.181818181818155,10
2183,#100010000111,28.892517885834028,6
2182,#100010000110,28.203636363636342,9
2181,#100010000101,28.203636363636342,9
2180,#100010000100,26.181818181818155,10
2179,#100010000011,28.203636363636342,9
2178,#100010000010,26.181818181818155,10
2177,#100010000001,26.181818181818155,10
2176,#100010000000,22.36363636363634,10
2175,#100001111111,24.999999999999975,1
2174,#100001111110,27.399999999999974,1
2173,#100001111101,27.399999999999974,1
2172,#100001111100,28.70687320221702,5
2171,#100001111011,27.399999999999974,1
2170,#100001111010,28.70675495887619,5
2169,#100001111001,28.70675495887619,5
2168,#100001111000,28.866594216248586,6
2167,#100001110111,27.399999999999974,1
2166,#100001110110,28.706398548296768,5
2165,#100001110101,28.706398548296768,5
2164,#100001110100,28.866839068703296,6
2163,#100001110011,28.706323773544426,5
2162,#100001110010,28.866847203427074,6
2161,#100001110001,28.866847203427074,6
2160,#100001110000,28.203636363636345,9
2159,#100001101111,27.399999999999974,1
2158,#100001101110,28.705953803047876,5
2157,#100001101101,28.705953803047876,5
2156,#100001101100,28.867413078445292,6
2155,#100001101011,28.70588106691817,5
2154,#100001101010,28.86741776438083,6
2153,#100001101001,28.86741776438083,6
2152,#100001101000,28.203636363636345,9
2151,#100001100111,28.705551737104646,5
2150,#100001100110,28.867492752843958,6
2149,#100001100101,28.867492752843958,6
2148,#100001100100,28.203636363636345,9
2147,#100001100011,28.86742056339085,6
2146,#100001100010,28.203636363636345,9
2145,#100001100001,28.203636363636345,9
2144,#100001100000,26.181818181818155,10
2143,#100001011111,27.399999999999974,1
2142,#100001011110,28.699913321338446,5
2141,#100001011101,28.699913321338446,5
2140,#100001011100,28.868334044064383,6
2139,#100001011011,28.699843467477876,5
2138,#100001011010,28.86833501749793,6
2137,#100001011001,28.86833501749793,6
2136,#100001011000,28.203636363636345,9
