,#bit12,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.718722030152165,All
3981,1,1,1,1,1,0,0,0,1,1,0,1,24.999999999999975,1
3980,1,1,1,1,1,0,0,0,1,1,0,0,27.399999999999974,1
3979,1,1,1,1,1,0,0,0,1,0,1,1,24.999999999999975,1
3978,1,1,1,1,1,0,0,0,1,0,1,0,27.399999999999974,1
3977,1,1,1,1,1,0,0,0,1,0,0,1,27.399999999999974,1
3976,1,1,1,1,1,0,0,0,1,0,0,0,29.399999999999974,1
3975,1,1,1,1,1,0,0,0,0,1,1,1,24.999999999999975,1
3974,1,1,1,1,1,0,0,0,0,1,1,0,27.399999999999974,1
3973,1,1,1,1,1,0,0,0,0,1,0,1,27.399999999999974,1
3972,1,1,1,1,1,0,0,0,0,1,0,0,29.399999999999974,1
3971,1,1,1,1,1,0,0,0,0,0,1,1,27.399999999999974,1
3970,1,1,1,1,1,0,0,0,0,0,1,0,29.399999999999974,1
3969,1,1,1,1,1,0,0,0,0,0,0,1,29.399999999999974,1
3968,1,1,1,1,1,0,0,0,0,0,0,0,30.54285714285713,2
3967,1,1,1,1,0,1,1,1,1,1,1,1,11.999999999999984,1
3966,1,1,1,1,0,1,1,1,1,1,1,0,17.99999999999998,1
3965,1,1,1,1,0,1,1,1,1,1,0,1,17.99999999999998,1
3964,1,1,1,1,0,1,1,1,1,1,0,0,21.999999999999975,1
3963,1,1,1,1,0,1,1,1,1,0,1,1,17.99999999999998,1
3962,1,1,1,1,0,1,1,1,1,0,1,0,21.999999999999975,1
3961,1,1,1,1,0,1,1,1,1,0,0,1,21.999999999999975,1
3960,1,1,1,1,0,1,1,1,1,0,0,0,24.999999999999975,1
3959,1,1,1,1,0,1,1,1,0,1,1,1,17.99999999999998,1
3958,1,1,1,1,0,1,1,1,0,1,1,0,21.999999999999975,1
3957,1,1,1,1,0,1,1,1,0,1,0,1,21.999999999999975,1
3956,1,1,1,1,0,1,1,1,0,1,0,0,24.999999999999975,1
3955,1,1,1,1,0,1,1,1,0,0,1,1,21.999999999999975,1
3954,1,1,1,1,0,1,1,1,0,0,1,0,24.999999999999975,1
3953,1,1,1,1,0,1,1,1,0,0,0,1,24.999999999999975,1
3952,1,1,1,1,0,1,1,1,0,0,0,0,27.399999999999974,1
3951,1,1,1,1,0,1,1,0,1,1,1,1,17.99999999999998,1
3950,1,1,1,1,0,1,1,0,1,1,1,0,21.999999999999975,1
3949,1,1,1,1,0,1,1,0,1,1,0,1,21.999999999999975,1
3948,1,1,1,1,0,1,1,0,1,1,0,0,24.999999999999975,1
3947,1,1,1,1,0,1,1,0,1,0,1,1,21.999999999999975,1
3946,1,1,1,1,0,1,1,0,1,0,1,0,24.999999999999975,1
3945,1,1,1,1,0,1,1,0,1,0,0,1,24.999999999999975,1
3944,1,1,1,1,0,1,1,0,1,0,0,0,27.399999999999974,1
3943,1,1,1,1,0,1,1,0,0,1,1,1,21.999999999999975,1
3942,1,1,1,1,0,1,1,0,0,1,1,0,24.999999999999975,1
3941,1,1,1,1,0,1,1,0,0,1,0,1,24.999999999999975,1
3940,1,1,1,1,0,1,1,0,0,1,0,0,27.399999999999974,1
3939,1,1,1,1,0,1,1,0,0,0,1,1,24.999999999999975,1
3938,1,1,1,1,0,1,1,0,0,0,1,0,27.399999999999974,1
3937,1,1,1,1,0,1,1,0,0,0,0,1,27.399999999999974,1
3936,1,1,1,1,0,1,1,0,0,0,0,0,29.399999999999974,1
3935,1,1,1,1,0,1,0,1,1,1,1,1,17.99999999999998,1
3934,1,1,1,1,0,1,0,1,1,1,1,0,21.999999999999975,1
3933,1,1,1,1,0,1,0,1,1,1,0,1,21.999999999999975,1
3932,1,1,1,1,0,1,0,1,1,1,0,0,24.999999999999975,1
3931,1,1,1,1,0,1,0,1,1,0,1,1,21.999999999999975,1
3930,1,1,1,1,0,1,0,1,1,0,1,0,24.999999999999975,1
3929,1,1,1,1,0,1,0,1,1,0,0,1,24.999999999999975,1
3928,1,1,1,1,0,1,0,1,1,0,0,0,27.399999999999974,1
3927,1,1,1,1,0,1,0,1,0,1,1,1,21.999999999999975,1
3926,1,1,1,1,0,1,0,1,0,1,1,0,24.999999999999975,1
3925,1,1,1,1,0,1,0,1,0,1,0,1,24.999999999999975,1
3924,1,1,1,1,0,1,0,1,0,1,0,0,27.399999999999974,1
3923,1,1,1,1,0,1,0,1,0,0,1,1,24.999999999999975,1
3922,1,1,1,1,0,1,0,1,0,0,1,0,27.399999999999974,1
3921,1,1,1,1,0,1,0,1,0,0,0,1,27.399999999999974,1
3920,1,1,1,1,0,1,0,1,0,0,0,0,29.399999999999974,1
3919,1,1,1,1,0,1,0,0,1,1,1,1,21.999999999999975,1
3918,1,1,1,1,0,1,0,0,1,1,1,0,24.999999999999975,1
3917,1,1,1,1,0,1,0,0,1,1,0,1,24.999999999999975,1
3916,1,1,1,1,0,1,0,0,1,1,0,0,27.399999999999974,1
3915,1,1,1,1,0,1,0,0,1,0,1,1,24.999999999999975,1
3914,1,1,1,1,0,1,0,0,1,0,1,0,27.399999999999974,1
3913,1,1,1,1,0,1,0,0,1,0,0,1,27.399999999999974,1
3912,1,1,1,1,0,1,0,0,1,0,0,0,29.399999999999974,1
3911,1,1,1,1,0,1,0,0,0,1,1,1,24.999999999999975,1
3910,1,1,1,1,0,1,0,0,0,1,1,0,27.399999999999974,1
3909,1,1,1,1,0,1,0,0,0,1,0,1,27.399999999999974,1
3908,1,1,1,1,0,1,0,0,0,1,0,0,29.399999999999974,1
3907,1,1,1,1,0,1,0,0,0,0,1,1,27.399999999999974,1
3906,1,1,1,1,0,1,0,0,0,0,1,0,29.399999999999974,1
3905,1,1,1,1,0,1,0,0,0,0,0,1,29.399999999999974,1
3904,1,1,1,1,0,1,0,0,0,0,0,0,30.542857142857134,2
3903,1,1,1,1,0,0,1,1,1,1,1,1,17.99999999999998,1
3902,1,1,1,1,0,0,1,1,1,1,1,0,21.999999999999975,1
3901,1,1,1,1,0,0,1,1,1,1,0,1,21.999999999999975,1
3900,1,1,1,1,0,0,1,1,1,1,0,0,24.999999999999975,1
3899,1,1,1,1,0,0,1,1,1,0,1,1,21.999999999999975,1
3898,1,1,1,1,0,0,1,1,1,0,1,0,24.999999999999975,1
3897,1,1,1,1,0,0,1,1,1,0,0,1,24.999999999999975,1
3896,1,1,1,1,0,0,1,1,1,0,0,0,27.399999999999974,1
3895,1,1,1,1,0,0,1,1,0,1,1,1,21.999999999999975,1
3894,1,1,1,1,0,0,1,1,0,1,1,0,24.999999999999975,1
3893,1,1,1,1,0,0,1,1,0,1,0,1,24.999999999999975,1
3892,1,1,1,1,0,0,1,1,0,1,0,0,27.399999999999974,1
3891,1,1,1,1,0,0,1,1,0,0,1,1,24.999999999999975,1
3890,1,1,1,1,0,0,1,1,0,0,1,0,27.399999999999974,1
3889,1,1,1,1,0,0,1,1,0,0,0,1,27.399999999999974,1
3888,1,1,1,1,0,0,1,1,0,0,0,0,29.399999999999974,1
3887,1,1,1,1,0,0,1,0,1,1,1,1,21.999999999999975,1
3886,1,1,1,1,0,0,1,0,1,1,1,0,24.999999999999975,1
3885,1,1,1,1,0,0,1,0,1,1,0,1,24.999999999999975,1
3884,1,1,1,1,0,0,1,0,1,1,0,0,27.399999999999974,1
3883,1,1,1,1,0,0,1,0,1,0,1,1,24.999999999999975,1
3882,1,1,1,1,0,0,1,0,1,0,1,0,27.399999999999974,1
3881,1,1,1,1,0,0,1,0,1,0,0,1,27.399999999999974,1
3880,1,1,1,1,0,0,1,0,1,0,0,0,29.399999999999974,1
3879,1,1,1,1,0,0,1,0,0,1,1,1,24.999999999999975,1
3878,1,1,1,1,0,0,1,0,0,1,1,0,27.399999999999974,1
3877,1,1,1,1,0,0,1,0,0,1,0,1,27.399999999999974,1
3876,1,1,1,1,0,0,1,0,0,1,0,0,29.399999999999974,1
3875,1,1,1,1,0,0,1,0,0,0,1,1,27.399999999999974,1
3874,1,1,1,1,0,0,1,0,0,0,1,0,29.399999999999974,1
3873,1,1,1,1,0,0,1,0,0,0,0,1,29.399999999999974,1
3872,1,1,1,1,0,0,1,0,0,0,0,0,30.54285714285714,2
3871,1,1,1,1,0,0,0,1,1,1,1,1,21.999999999999975,1
3870,1,1,1,1,0,0,0,1,1,1,1,0,24.999999999999975,1
3869,1,1,1,1,0,0,0,1,1,1,0,1,24.999999999999975,1
3868,1,1,1,1,0,0,0,1,1,1,0,0,27.399999999999974,1
3867,1,1,1,1,0,0,0,1,1,0,1,1,24.999999999999975,1
3866,1,1,1,1,0,0,0,1,1,0,1,0,27.399999999999974,1
3865,1,1,1,1,0,0,0,1,1,0,0,1,27.399999999999974,1
3864,1,1,1,1,0,0,0,1,1,0,0,0,29.399999999999974,1
3863,1,1,1,1,0,0,0,1,0,1,1,1,24.999999999999975,1
3862,1,1,1,1,0,0,0,1,0,1,1,0,27.399999999999974,1
3861,1,1,1,1,0,0,0,1,0,1,0,1,27.399999999999974,1
3860,1,1,1,1,0,0,0,1,0,1,0,0,29.399999999999974,1
3859,1,1,1,1,0,0,0,1,0,0,1,1,27.399999999999974,1
3858,1,1,1,1,0,0,0,1,0,0,1,0,29.399999999999974,1
3857,1,1,1,1,0,0,0,1,0,0,0,1,29.399999999999974,1
3856,1,1,1,1,0,0,0,1,0,0,0,0,30.542857142857144,2
3855,1,1,1,1,0,0,0,0,1,1,1,1,24.999999999999975,1
3854,1,1,1,1,0,0,0,0,1,1,1,0,27.399999999999974,1
3853,1,1,1,1,0,0,0,0,1,1,0,1,27.399999999999974,1
3852,1,1,1,1,0,0,0,0,1,1,0,0,29.399999999999974,1
3851,1,1,1,1,0,0,0,0,1,0,1,1,27.399999999999974,1
3850,1,1,1,1,0,0,0,0,1,0,1,0,29.399999999999974,1
3849,1,1,1,1,0,0,0,0,1,0,0,1,29.399999999999974,1
3848,1,1,1,1,0,0,0,0,1,0,0,0,30.542857142857148,2
3847,1,1,1,1,0,0,0,0,0,1,1,1,27.399999999999974,1
3846,1,1,1,1,0,0,0,0,0,1,1,0,29.399999999999974,1
3845,1,1,1,1,0,0,0,0,0,1,0,1,29.399999999999974,1
3844,1,1,1,1,0,0,0,0,0,1,0,0,30.542857142857155,2
3843,1,1,1,1,0,0,0,0,0,0,1,1,29.399999999999974,1
3842,1,1,1,1,0,0,0,0,0,0,1,0,30.542857142857155,2
3841,1,1,1,1,0,0,0,0,0,0,0,1,30.542857142857162,2
3840,1,1,1,1,0,0,0,0,0,0,0,0,31.328571428571447,3
3839,1,1,1,0,1,1,1,1,1,1,1,1,11.999999999999984,1
3838,1,1,1,0,1,1,1,1,1,1,1,0,17.99999999999998,1
3837,1,1,1,0,1,1,1,1,1,1,0,1,17.99999999999998,1
3836,1,1,1,0,1,1,1,1,1,1,0,0,21.999999999999975,1
3835,1,1,1,0,1,1,1,1,1,0,1,1,17.99999999999998,1
3834,1,1,1,0,1,1,1,1,1,0,1,0,21.999999999999975,1
3833,1,1,1,0,1,1,1,1,1,0,0,1,21.999999999999975,1
3832,1,1,1,0,1,1,1,1,1,0,0,0,24.999999999999975,1
3831,1,1,1,0,1,1,1,1,0,1,1,1,17.99999999999998,1
3830,1,1,1,0,1,1,1,1,0,1,1,0,21.999999999999975,1
3829,1,1,1,0,1,1,1,1,0,1,0,1,21.999999999999975,1
3828,1,1,1,0,1,1,1,1,0,1,0,0,24.999999999999975,1
3827,1,1,1,0,1,1,1,1,0,0,1,1,21.999999999999975,1
3826,1,1,1,0,1,1,1,1,0,0,1,0,24.999999999999975,1
3825,1,1,1,0,1,1,1,1,0,0,0,1,24.999999999999975,1
3824,1,1,1,0,1,1,1,1,0,0,0,0,27.399999999999974,1
3823,1,1,1,0,1,1,1,0,1,1,1,1,17.99999999999998,1
3822,1,1,1,0,1,1,1,0,1,1,1,0,21.999999999999975,1
3821,1,1,1,0,1,1,1,0,1,1,0,1,21.999999999999975,1
3820,1,1,1,0,1,1,1,0,1,1,0,0,24.999999999999975,1
3819,1,1,1,0,1,1,1,0,1,0,1,1,21.999999999999975,1
3818,1,1,1,0,1,1,1,0,1,0,1,0,24.999999999999975,1
3817,1,1,1,0,1,1,1,0,1,0,0,1,24.999999999999975,1
3816,1,1,1,0,1,1,1,0,1,0,0,0,27.399999999999974,1
3815,1,1,1,0,1,1,1,0,0,1,1,1,21.999999999999975,1
3814,1,1,1,0,1,1,1,0,0,1,1,0,24.999999999999975,1
3813,1,1,1,0,1,1,1,0,0,1,0,1,24.999999999999975,1
3812,1,1,1,0,1,1,1,0,0,1,0,0,27.399999999999974,1
3811,1,1,1,0,1,1,1,0,0,0,1,1,24.999999999999975,1
3810,1,1,1,0,1,1,1,0,0,0,1,0,27.399999999999974,1
3809,1,1,1,0,1,1,1,0,0,0,0,1,27.399999999999974,1
3808,1,1,1,0,1,1,1,0,0,0,0,0,29.399999999999974,1
3807,1,1,1,0,1,1,0,1,1,1,1,1,17.99999999999998,1
3806,1,1,1,0,1,1,0,1,1,1,1,0,21.999999999999975,1
3805,1,1,1,0,1,1,0,1,1,1,0,1,21.999999999999975,1
3804,1,1,1,0,1,1,0,1,1,1,0,0,24.999999999999975,1
3803,1,1,1,0,1,1,0,1,1,0,1,1,21.999999999999975,1
3802,1,1,1,0,1,1,0,1,1,0,1,0,24.999999999999975,1
3801,1,1,1,0,1,1,0,1,1,0,0,1,24.999999999999975,1
3800,1,1,1,0,1,1,0,1,1,0,0,0,27.399999999999974,1
3799,1,1,1,0,1,1,0,1,0,1,1,1,21.999999999999975,1
3798,1,1,1,0,1,1,0,1,0,1,1,0,24.999999999999975,1
3797,1,1,1,0,1,1,0,1,0,1,0,1,24.999999999999975,1
3796,1,1,1,0,1,1,0,1,0,1,0,0,27.399999999999974,1
3795,1,1,1,0,1,1,0,1,0,0,1,1,24.999999999999975,1
3794,1,1,1,0,1,1,0,1,0,0,1,0,27.399999999999974,1
3793,1,1,1,0,1,1,0,1,0,0,0,1,27.399999999999974,1
3792,1,1,1,0,1,1,0,1,0,0,0,0,29.399999999999974,1
3791,1,1,1,0,1,1,0,0,1,1,1,1,21.999999999999975,1
3790,1,1,1,0,1,1,0,0,1,1,1,0,24.999999999999975,1
3789,1,1,1,0,1,1,0,0,1,1,0,1,24.999999999999975,1
3788,1,1,1,0,1,1,0,0,1,1,0,0,27.399999999999974,1
3787,1,1,1,0,1,1,0,0,1,0,1,1,24.999999999999975,1
3786,1,1,1,0,1,1,0,0,1,0,1,0,27.399999999999974,1
3785,1,1,1,0,1,1,0,0,1,0,0,1,27.399999999999974,1
3784,1,1,1,0,1,1,0,0,1,0,0,0,29.399999999999974,1
3783,1,1,1,0,1,1,0,0,0,1,1,1,24.999999999999975,1
3782,1,1,1,0,1,1,0,0,0,1,1,0,27.399999999999974,1
3781,1,1,1,0,1,1,0,0,0,1,0,1,27.399999999999974,1
3780,1,1,1,0,1,1,0,0,0,1,0,0,29.399999999999974,1
3779,1,1,1,0,1,1,0,0,0,0,1,1,27.399999999999974,1
3778,1,1,1,0,1,1,0,0,0,0,1,0,29.399999999999974,1
3777,1,1,1,0,1,1,0,0,0,0,0,1,29.399999999999974,1
3776,1,1,1,0,1,1,0,0,0,0,0,0,30.54285714285714,2
3775,1,1,1,0,1,0,1,1,1,1,1,1,17.99999999999998,1
3774,1,1,1,0,1,0,1,1,1,1,1,0,21.999999999999975,1
3773,1,1,1,0,1,0,1,1,1,1,0,1,21.999999999999975,1
3772,1,1,1,0,1,0,1,1,1,1,0,0,24.999999999999975,1
3771,1,1,1,0,1,0,1,1,1,0,1,1,21.999999999999975,1
3770,1,1,1,0,1,0,1,1,1,0,1,0,24.999999999999975,1
3769,1,1,1,0,1,0,1,1,1,0,0,1,24.999999999999975,1
3768,1,1,1,0,1,0,1,1,1,0,0,0,27.399999999999974,1
3767,1,1,1,0,1,0,1,1,0,1,1,1,21.999999999999975,1
3766,1,1,1,0,1,0,1,1,0,1,1,0,24.999999999999975,1
3765,1,1,1,0,1,0,1,1,0,1,0,1,24.999999999999975,1
3764,1,1,1,0,1,0,1,1,0,1,0,0,27.399999999999974,1
